Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2017,Cleveland Cavaliers,105,Chicago Bulls,111
2017,Houston Rockets,128,Denver Nuggets,110
2017,Los Angeles Clippers,114,New Orleans Pelicans,96
2017,Minnesota Timberwolves,114,New York Knicks,118
2017,Orlando Magic,105,Philadelphia 76ers,88
2017,Washington Wizards,105,San Antonio Spurs,107
2017,Los Angeles Lakers,80,Toronto Raptors,113
2017,Minnesota Timberwolves,125,Charlotte Hornets,120
2017,Chicago Bulls,82,Dallas Mavericks,107
2017,Phoenix Suns,109,Golden State Warriors,138
2017,Los Angeles Lakers,100,Memphis Grizzlies,103
2017,Brooklyn Nets,103,Milwaukee Bucks,112
2017,Boston Celtics,107,Philadelphia 76ers,106
2017,Miami Heat,92,Portland Trail Blazers,99
2017,Atlanta Hawks,84,Toronto Raptors,128
2017,Denver Nuggets,98,Utah Jazz,105
2017,Orlando Magic,98,Detroit Pistons,92
2017,Indiana Pacers,111,Los Angeles Clippers,102
2017,Sacramento Kings,98,New York Knicks,106
2017,New Orleans Pelicans,92,Oklahoma City Thunder,101
2017,Oklahoma City Thunder,102,Atlanta Hawks,99
2017,Washington Wizards,118,Brooklyn Nets,113
2017,Portland Trail Blazers,112,Chicago Bulls,110
2017,Charlotte Hornets,109,Dallas Mavericks,101
2017,Indiana Pacers,106,Golden State Warriors,142
2017,Boston Celtics,106,Houston Rockets,107
2017,Utah Jazz,107,Los Angeles Lakers,101
2017,San Antonio Spurs,97,Milwaukee Bucks,96
2017,Memphis Grizzlies,110,New Orleans Pelicans,108
2017,Denver Nuggets,106,Philadelphia 76ers,98
2017,Cleveland Cavaliers,116,Toronto Raptors,112
2017,Chicago Bulls,91,Detroit Pistons,102
2017,Philadelphia 76ers,91,Memphis Grizzlies,96
2017,New York Knicks,114,Miami Heat,103
2017,San Antonio Spurs,105,Minnesota Timberwolves,91
2017,Phoenix Suns,105,Utah Jazz,112
2017,Orlando Magic,124,Washington Wizards,116
2017,Miami Heat,95,Atlanta Hawks,103
2017,Denver Nuggets,111,Brooklyn Nets,116
2017,Detroit Pistons,77,Charlotte Hornets,87
2017,Sacramento Kings,120,Dallas Mavericks,89
2017,Los Angeles Lakers,95,Houston Rockets,134
2017,Golden State Warriors,115,Los Angeles Clippers,98
2017,Portland Trail Blazers,107,Milwaukee Bucks,115
2017,Cleveland Cavaliers,126,New York Knicks,94
2017,Boston Celtics,117,Orlando Magic,87
2017,Indiana Pacers,109,Phoenix Suns,94
2017,San Antonio Spurs,91,Chicago Bulls,95
2017,Portland Trail Blazers,86,Memphis Grizzlies,88
2017,Philadelphia 76ers,99,New Orleans Pelicans,88
2017,Minnesota Timberwolves,110,Toronto Raptors,124
2017,Golden State Warriors,106,Utah Jazz,99
2017,Denver Nuggets,85,Washington Wizards,92
2017,Toronto Raptors,101,Boston Celtics,94
2017,Orlando Magic,88,Charlotte Hornets,109
2017,Miami Heat,84,Cleveland Cavaliers,114
2017,Indiana Pacers,103,Dallas Mavericks,111
2017,Phoenix Suns,119,Los Angeles Lakers,115
2017,Atlanta Hawks,114,Milwaukee Bucks,110
2017,Detroit Pistons,117,Minnesota Timberwolves,90
2017,Houston Rockets,102,Oklahoma City Thunder,99
2017,New York Knicks,103,Sacramento Kings,100
2017,Miami Heat,100,Chicago Bulls,105
2017,Charlotte Hornets,105,Cleveland Cavaliers,116
2017,Dallas Mavericks,87,Houston Rockets,109
2017,Portland Trail Blazers,111,Indiana Pacers,118
2017,New Orleans Pelicans,105,Los Angeles Clippers,133
2017,Golden State Warriors,89,Memphis Grizzlies,110
2017,Denver Nuggets,121,Orlando Magic,113
