ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
192,Portland Trail Blazers,129,Brooklyn Nets,109,0,0,0.508431051985,2016-11-20
193,Utah Jazz,91,Denver Nuggets,105,1,0,0.608518450714,2016-11-20
194,Chicago Bulls,118,Los Angeles Lakers,110,0,0,0.583351237328,2016-11-20
195,Atlanta Hawks,94,New York Knicks,104,1,1,0.650494444974,2016-11-20
196,Indiana Pacers,115,Oklahoma City Thunder,111,0,1,0.786662246672,2016-11-20
197,Toronto Raptors,99,Sacramento Kings,102,1,0,0.784110472892,2016-11-20
198,Memphis Grizzlies,105,Charlotte Hornets,90,0,1,0.718144964981,2016-11-21
199,Houston Rockets,99,Detroit Pistons,96,0,0,0.571749309774,2016-11-21
200,Golden State Warriors,120,Indiana Pacers,83,0,0,0.859088124438,2016-11-21
201,Toronto Raptors,115,Los Angeles Clippers,123,1,1,0.527882362071,2016-11-21
202,Orlando Magic,89,Milwaukee Bucks,93,1,1,0.829516710758,2016-11-21
203,Boston Celtics,99,Minnesota Timberwolves,93,0,0,0.518610842401,2016-11-21
204,Miami Heat,94,Philadelphia 76ers,101,1,0,0.565653934892,2016-11-21
205,Dallas Mavericks,91,San Antonio Spurs,96,1,1,0.926813329557,2016-11-21
206,Phoenix Suns,101,Washington Wizards,106,1,1,0.820599835169,2016-11-21
207,New Orleans Pelicans,112,Atlanta Hawks,94,0,1,0.686831996292,2016-11-22
208,Chicago Bulls,107,Denver Nuggets,110,1,1,0.546324210949,2016-11-22
209,Oklahoma City Thunder,109,Los Angeles Lakers,111,1,0,0.625448145573,2016-11-22
210,Portland Trail Blazers,103,New York Knicks,107,1,1,0.688841700928,2016-11-22
211,Boston Celtics,111,Brooklyn Nets,92,0,0,0.712124204239,2016-11-23
212,San Antonio Spurs,119,Charlotte Hornets,114,0,0,0.57711494585,2016-11-23
213,Portland Trail Blazers,125,Cleveland Cavaliers,137,1,1,0.91859705393,2016-11-23
214,Los Angeles Clippers,124,Dallas Mavericks,104,0,0,0.77882951167,2016-11-23
215,Miami Heat,84,Detroit Pistons,107,1,1,0.776898726468,2016-11-23
216,Los Angeles Lakers,106,Golden State Warriors,149,1,1,0.966632384171,2016-11-23
217,Toronto Raptors,115,Houston Rockets,102,0,1,0.543954817421,2016-11-23
218,Atlanta Hawks,96,Indiana Pacers,85,0,1,0.621220151138,2016-11-23
219,Minnesota Timberwolves,96,New Orleans Pelicans,117,1,1,0.587499584428,2016-11-23
220,Phoenix Suns,92,Orlando Magic,87,0,1,0.742203197405,2016-11-23
