ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
95,Detroit Pistons,82,Los Angeles Clippers,114,1,1,0.853229268736,2016-11-07
96,Miami Heat,85,Oklahoma City Thunder,97,1,1,0.749635757819,2016-11-07
97,Utah Jazz,109,Philadelphia 76ers,84,0,0,0.807375961729,2016-11-07
98,Houston Rockets,114,Washington Wizards,106,0,0,0.667378327923,2016-11-07
99,Minnesota Timberwolves,110,Brooklyn Nets,119,1,0,0.569388123486,2016-11-08
100,Atlanta Hawks,110,Cleveland Cavaliers,106,0,1,0.9065587964,2016-11-08
101,Dallas Mavericks,109,Los Angeles Lakers,97,0,1,0.627886579256,2016-11-08
102,Denver Nuggets,107,Memphis Grizzlies,108,1,1,0.712962216658,2016-11-08
103,Phoenix Suns,121,Portland Trail Blazers,124,1,1,0.783637524296,2016-11-08
104,New Orleans Pelicans,94,Sacramento Kings,102,1,1,0.696962004682,2016-11-08
105,Chicago Bulls,107,Atlanta Hawks,115,1,1,0.520664763918,2016-11-09
106,Utah Jazz,98,Charlotte Hornets,104,1,1,0.516705291259,2016-11-09
107,Dallas Mavericks,95,Golden State Warriors,116,1,1,0.966776415793,2016-11-09
108,Philadelphia 76ers,115,Indiana Pacers,122,1,1,0.805299770284,2016-11-09
109,Portland Trail Blazers,80,Los Angeles Clippers,111,1,1,0.914608224533,2016-11-09
110,Brooklyn Nets,96,New York Knicks,110,1,1,0.810303895895,2016-11-09
111,Toronto Raptors,112,Oklahoma City Thunder,102,0,0,0.69827644979,2016-11-09
112,Minnesota Timberwolves,123,Orlando Magic,107,0,1,0.510620497755,2016-11-09
113,Detroit Pistons,100,Phoenix Suns,107,1,0,0.673210252569,2016-11-09
114,Houston Rockets,101,San Antonio Spurs,99,0,1,0.621991264006,2016-11-09
115,Boston Celtics,93,Washington Wizards,118,1,1,0.52777801951,2016-11-09
116,Golden State Warriors,125,Denver Nuggets,101,0,0,0.852429505981,2016-11-10
117,Chicago Bulls,98,Miami Heat,95,0,1,0.501474346197,2016-11-10
118,New Orleans Pelicans,112,Milwaukee Bucks,106,0,1,0.803357643883,2016-11-10
