ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
30,2016-11-25,00:00,Orlando Magic vs Washington Wizards,Orlando Magic,Washington Wizards,2.13,1.78,Washington Wizards,Washington Wizards,0.531,N,91,94,Washington Wizards,2.13
31,2016-11-25,00:30,Cleveland Cavaliers vs Dallas Mavericks,Cleveland Cavaliers,Dallas Mavericks,1.06,11.08,Cleveland Cavaliers,Cleveland Cavaliers,0.942,N,128,90,Dallas Mavericks,1.06
32,2016-11-25,00:30,Detroit Pistons vs Los Angeles Clippers,Detroit Pistons,Los Angeles Clippers,3.4,1.35,Los Angeles Clippers,Los Angeles Clippers,0.642,N,108,97,Los Angeles Clippers,3.4
33,2016-11-25,00:30,New York Knicks vs Charlotte Hornets,New York Knicks,Charlotte Hornets,2.1,1.8,Charlotte Hornets,New York Knicks,0.505,Y,113,111OT,Charlotte Hornets,2.1
34,2016-11-25,00:30,Philadelphia 76ers vs Chicago Bulls,Philadelphia 76ers,Chicago Bulls,4.64,1.22,Chicago Bulls,Chicago Bulls,0.71,N,89,105,Chicago Bulls,4.64
35,2016-11-25,01:00,Indiana Pacers vs Brooklyn Nets,Indiana Pacers,Brooklyn Nets,1.43,3.01,Indiana Pacers,Indiana Pacers,0.794,N,118,97,Brooklyn Nets,1.43
36,2016-11-25,01:00,Memphis Grizzlies vs Miami Heat,Memphis Grizzlies,Miami Heat,1.49,2.79,Memphis Grizzlies,Memphis Grizzlies,0.712,N,81,90,Miami Heat,1.49
37,2016-11-25,01:00,Milwaukee Bucks vs Toronto Raptors,Milwaukee Bucks,Toronto Raptors,2.43,1.61,Toronto Raptors,Toronto Raptors,0.684,N,99,105,Toronto Raptors,2.43
38,2016-11-25,01:00,Utah Jazz vs Atlanta Hawks,Utah Jazz,Atlanta Hawks,1.63,2.4,Utah Jazz,Utah Jazz,0.836,N,95,68,Atlanta Hawks,1.63
39,2016-11-25,02:00,Denver Nuggets vs Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,2.24,1.71,Oklahoma City Thunder,Denver Nuggets,0.518,Y,129,132OT,Oklahoma City Thunder,2.24
40,2016-11-25,02:00,Phoenix Suns vs Minnesota Timberwolves,Phoenix Suns,Minnesota Timberwolves,2.08,1.81,Minnesota Timberwolves,Minnesota Timberwolves,0.572,N,85,98,Minnesota Timberwolves,2.08
41,2016-11-25,03:00,Portland Trail Blazers vs New Orleans Pelicans,Portland Trail Blazers,New Orleans Pelicans,1.56,2.57,Portland Trail Blazers,Portland Trail Blazers,0.665,N,119,104,New Orleans Pelicans,1.56
42,2016-11-25,03:30,Los Angeles Lakers vs Golden State Warriors,Los Angeles Lakers,Golden State Warriors,10.9,1.07,Golden State Warriors,Golden State Warriors,0.905,N,85,109,Golden State Warriors,10.9
43,2016-11-25,03:30,Sacramento Kings vs Houston Rockets,Sacramento Kings,Houston Rockets,2.38,1.63,Houston Rockets,Houston Rockets,0.71,N,104,117,Houston Rockets,2.38
44,2016-11-26,00:00,Washington Wizards vs San Antonio Spurs,Washington Wizards,San Antonio Spurs,3.23,1.38,San Antonio Spurs,San Antonio Spurs,0.647,N,100,112,San Antonio Spurs,3.23
45,2016-11-26,01:00,Miami Heat vs Memphis Grizzlies,Miami Heat,Memphis Grizzlies,2.04,1.84,Memphis Grizzlies,Miami Heat,0.567,Y,107,110,Memphis Grizzlies,2.04
46,2016-11-26,01:00,Oklahoma City Thunder vs Detroit Pistons,Oklahoma City Thunder,Detroit Pistons,1.55,2.59,Oklahoma City Thunder,Oklahoma City Thunder,0.652,N,106,88,Detroit Pistons,1.55
47,2016-11-26,03:30,Golden State Warriors vs Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,1.09,8.91,Golden State Warriors,Golden State Warriors,0.947,N,115,102,Minnesota Timberwolves,1.09
48,2016-11-27,00:00,Dallas Mavericks vs New Orleans Pelicans,Dallas Mavericks,New Orleans Pelicans,2.83,1.47,New Orleans Pelicans,Dallas Mavericks,0.595,Y,91,81,New Orleans Pelicans,2.83
49,2016-11-27,02:00,Portland Trail Blazers vs Houston Rockets,Portland Trail Blazers,Houston Rockets,2.1,1.8,Houston Rockets,Houston Rockets,0.739,N,114,130,Houston Rockets,2.1
50,2016-11-27,02:30,Los Angeles Lakers vs Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,2.76,1.49,Atlanta Hawks,Atlanta Hawks,0.5,N,109,94,Atlanta Hawks,2.76
51,2016-11-28,00:00,Washington Wizards vs Sacramento Kings,Washington Wizards,Sacramento Kings,1.52,2.68,Washington Wizards,Washington Wizards,0.687,N,101,95OT,Sacramento Kings,1.52
