ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
40,2016-10-20,00:30,Arizona Coyotes @ Montreal Canadiens,Arizona Coyotes,Montreal Canadiens,4.17,1.81,Montreal Canadiens,Montreal Canadiens,0.822,N,2,5,Montreal Canadiens,1.81
41,2016-10-20,00:30,Colorado Avalanche @ Tampa Bay Lightning,Colorado Avalanche,Tampa Bay Lightning,2.02,2.45,Colorado Avalanche,Tampa Bay Lightning,0.742,Y,4,0,Colorado Avalanche,2.45
42,2016-10-20,01:00,Toronto Maple Leafs @ Minnesota Wild,Toronto Maple Leafs,Minnesota Wild,2.31,3.88,Toronto Maple Leafs,Minnesota Wild,0.728,Y,2,3,Minnesota Wild,3.88
43,2016-10-20,01:30,Los Angeles Kings @ Dallas Stars,Los Angeles Kings,Dallas Stars,2.71,3.64,Los Angeles Kings,Los Angeles Kings,0.61,N,4OT,3,Los Angeles Kings,3.64
44,2016-10-20,02:00,Carolina Hurricanes @ Calgary Flames,Carolina Hurricanes,Calgary Flames,3.39,3.95,Carolina Hurricanes,Calgary Flames,0.54,Y,4,2,Carolina Hurricanes,3.95
45,2016-10-20,02:00,St. Louis Blues @ Edmonton Oilers,St. Louis Blues,Edmonton Oilers,4.13,1.84,Edmonton Oilers,Edmonton Oilers,0.555,N,1,3,Edmonton Oilers,1.84
46,2016-10-20,03:00,Buffalo Sabres @ Vancouver Canucks,Buffalo Sabres,Vancouver Canucks,1.95,2.24,Buffalo Sabres,Vancouver Canucks,0.55,Y,1,2,Vancouver Canucks,2.24
47,2016-10-21,00:00,Chicago Blackhawks @ Columbus Blue Jackets,Chicago Blackhawks,Columbus Blue Jackets,2.47,3.9,Chicago Blackhawks,Columbus Blue Jackets,0.672,Y,2,3,Columbus Blue Jackets,3.9
48,2016-10-21,00:00,Arizona Coyotes @ New York Islanders,Arizona Coyotes,New York Islanders,3.9,2.8,New York Islanders,New York Islanders,0.646,N,2,3,New York Islanders,2.8
49,2016-10-21,00:30,Nashville Predators @ Detroit Red Wings,Nashville Predators,Detroit Red Wings,2.47,2.87,Nashville Predators,Detroit Red Wings,0.543,Y,3,5,Detroit Red Wings,2.87
