ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
50,serie-a,2016-08-21,19:45,Chievo vs Inter Milan,Chievo,Inter Milan,3.96,3.27,2.08,Inter Milan,Chievo,0.408,Y,2,0,Chievo,3.96
51,serie-a,2016-08-21,19:45,Atalanta vs Lazio Roma,Atalanta,Lazio Roma,2.88,3.18,2.64,Lazio Roma,Atalanta,0.428,Y,3,4,Lazio Roma,2.64
52,ligue-1,2016-08-21,19:45,Paris SG vs Metz,Paris SG,Metz,1.12,9.75,25.03,Paris SG,Paris SG,0.625,N,3,0,Paris SG,1.12
53,laliga,2016-08-21,21:15,Atletico Madrid vs Alaves,Atletico Madrid,Alaves,1.24,5.88,17.52,Atletico Madrid,Atletico Madrid,0.558,N,1,1,Draw,5.88
54,laliga,2016-08-22,19:00,Celta Vigo vs Leganes,Celta Vigo,Leganes,1.64,3.83,5.99,Celta Vigo,Celta Vigo,0.533,N,0,1,Leganes,5.99
55,laliga,2016-08-26,19:45,Real Betis vs Deportivo,Real Betis,Deportivo,2.21,3.27,3.53,Real Betis,Real Betis,0.485,N,0,0,Draw,3.27
56,ligue-1,2016-08-26,19:45,Marseille vs Lorient,Marseille,Lorient,1.81,3.63,4.61,Marseille,Marseille,0.63,N,2,0,Marseille,1.81
57,laliga,2016-08-26,21:00,Espanyol vs Malaga,Espanyol,Malaga,2.31,3.21,3.37,Espanyol,Espanyol,0.488,N,2,2,Draw,3.21
58,premier-league,2016-08-27,12:30,Tottenham vs Liverpool,Tottenham,Liverpool,2.58,3.37,2.87,Tottenham,Tottenham,0.418,N,1,1,Draw,3.37
59,bundesliga,2016-08-27,14:30,Augsburg vs Wolfsburg,Augsburg,Wolfsburg,2.88,3.33,2.54,Wolfsburg,Augsburg,0.5,Y,0,2,Wolfsburg,2.54
60,bundesliga,2016-08-27,14:30,Hamburger SV vs Ingolstadt,Hamburger SV,Ingolstadt,2.37,3.19,3.27,Hamburger SV,Hamburger SV,0.489,N,1,1,Draw,3.19
61,bundesliga,2016-08-27,14:30,Frankfurt vs Schalke 04,Frankfurt,Schalke 04,3.31,3.46,2.22,Schalke 04,Frankfurt,0.599,Y,1,0,Frankfurt,3.31
62,bundesliga,2016-08-27,14:30,FC Koln vs Darmstadt,FC Koln,Darmstadt,1.55,4.08,6.72,FC Koln,FC Koln,0.642,N,2,0,FC Koln,1.55
63,premier-league,2016-08-27,15:00,Southampton vs Sunderland,Southampton,Sunderland,1.47,4.56,7.43,Southampton,Southampton,0.593,N,1,1,Draw,4.56
64,premier-league,2016-08-27,15:00,Crystal Palace vs Bournemouth,Crystal Palace,Bournemouth,2.25,3.26,3.54,Crystal Palace,Crystal Palace,0.413,N,1,1,Draw,3.26
65,premier-league,2016-08-27,15:00,Watford vs Arsenal,Watford,Arsenal,5.8,4.01,1.64,Arsenal,Arsenal,0.494,N,1,3,Arsenal,1.64
66,premier-league,2016-08-27,15:00,Everton vs Stoke City,Everton,Stoke City,1.67,4.03,5.36,Everton,Everton,0.526,N,1,0,Everton,1.67
67,premier-league,2016-08-27,15:00,Leicester City vs Swansea City,Leicester City,Swansea City,1.68,3.94,5.45,Leicester City,Leicester City,0.541,N,2,1,Leicester City,1.68
68,premier-league,2016-08-27,15:00,Chelsea vs Burnley,Chelsea,Burnley,1.24,6.25,14.65,Chelsea,Chelsea,0.669,N,3,0,Chelsea,1.24
69,ligue-1,2016-08-27,16:00,Dijon vs Lyon,Dijon,Lyon,4.94,3.66,1.76,Lyon,Lyon,0.489,N,4,2,Dijon,4.94
70,serie-a,2016-08-27,17:00,Lazio Roma vs Juventus,Lazio Roma,Juventus,4.18,3.23,2.04,Juventus,Juventus,0.409,N,0,1,Juventus,2.04
71,laliga,2016-08-27,17:15,Eibar vs Valencia,Eibar,Valencia,2.76,3.28,2.69,Valencia,Eibar,0.578,Y,1,0,Eibar,2.76
72,laliga,2016-08-27,17:15,Osasuna vs Real Sociedad,Osasuna,Real Sociedad,3.08,3.11,2.54,Real Sociedad,Real Sociedad,0.605,N,0,2,Real Sociedad,2.54
73,bundesliga,2016-08-27,17:30,Monchengladb. vs Leverkusen,Monchengladb.,Leverkusen,2.47,3.48,2.88,Monchengladb.,Monchengladb.,0.411,N,2,1,Monchengladb.,2.47
74,premier-league,2016-08-27,17:30,Hull City vs Manchester Utd,Hull City,Manchester Utd,8.54,4.47,1.44,Manchester Utd,Manchester Utd,0.589,N,0,1,Manchester Utd,1.44
75,ligue-1,2016-08-27,19:00,Metz vs Angers,Metz,Angers,2.61,3.0,3.04,Metz,Metz,0.492,N,2,0,Metz,2.61
76,ligue-1,2016-08-27,19:00,Caen vs Bastia,Caen,Bastia,2.22,3.07,3.72,Caen,Caen,0.456,N,2,0,Caen,2.22
77,ligue-1,2016-08-27,19:00,Nice vs Lille,Nice,Lille,2.62,2.91,3.13,Nice,Nice,0.672,N,1,1,Draw,2.91
78,ligue-1,2016-08-27,19:00,Nancy vs Guingamp,Nancy,Guingamp,2.04,3.27,4.05,Nancy,Guingamp,0.403,Y,0,2,Guingamp,4.05
79,ligue-1,2016-08-27,19:00,Montpellier vs Rennes,Montpellier,Rennes,2.11,3.19,3.89,Montpellier,Montpellier,0.413,N,1,1,Draw,3.19
80,laliga,2016-08-27,19:15,Real Madrid vs Celta Vigo,Real Madrid,Celta Vigo,1.17,8.01,16.15,Real Madrid,Real Madrid,0.641,N,2,1,Real Madrid,1.17
81,serie-a,2016-08-27,19:45,Napoli vs AC Milan,Napoli,AC Milan,1.61,4.01,5.94,Napoli,Napoli,0.478,N,4,2,Napoli,1.61
82,laliga,2016-08-27,21:15,Leganes vs Atletico Madrid,Leganes,Atletico Madrid,8.71,3.93,1.49,Atletico Madrid,Atletico Madrid,0.458,N,0,0,Draw,3.93
83,premier-league,2016-08-28,13:30,West Bromwich vs Middlesbrough,West Bromwich,Middlesbrough,2.61,3.06,3.08,West Bromwich,West Bromwich,0.523,N,0,0,Draw,3.06
