ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
350,ligue-1,2016-10-15,19:00,Lille @ Guingamp,Lille,Guingamp,2.85,2.96,2.79,Guingamp,Guingamp,0.578,N,0,1,Guingamp,2.79
351,ligue-1,2016-10-15,19:00,Angers @ Bastia,Angers,Bastia,3.24,2.82,2.61,Bastia,Bastia,0.481,N,2,1,Angers,3.24
361,ligue-1,2016-10-16,14:00,Bordeaux @ Rennes,Bordeaux,Rennes,3.0,3.13,2.55,Rennes,Rennes,0.479,N,1,1,Draw,3.13
364,ligue-1,2016-10-16,16:00,Dijon @ Saint-Etienne,Dijon,Saint-Etienne,5.36,3.49,1.76,Saint-Etienne,Saint-Etienne,0.552,N,1,1,Draw,3.49
373,ligue-1,2016-10-21,19:45,Montpellier @ Monaco,Montpellier,Monaco,5.92,3.95,1.62,Monaco,Monaco,0.654,N,2,6,Monaco,1.62
387,ligue-1,2016-10-22,16:00,Guingamp @ Lyon,Guingamp,Lyon,7.36,4.42,1.47,Lyon,Lyon,0.519,N,3,1,Guingamp,7.36
392,ligue-1,2016-10-22,19:00,Lorient @ Dijon,Lorient,Dijon,3.47,3.25,2.23,Dijon,Dijon,0.539,N,0,1,Dijon,2.23
393,ligue-1,2016-10-22,19:00,Rennes @ Nantes,Rennes,Nantes,3.42,3.06,2.36,Nantes,Rennes,0.387,Y,2,1,Rennes,3.42
394,ligue-1,2016-10-22,19:00,Toulouse @ Angers,Toulouse,Angers,3.06,3.0,2.6,Angers,Toulouse,0.377,Y,0,0,Draw,3.0
395,ligue-1,2016-10-22,19:00,Bastia @ Lille,Bastia,Lille,5.12,3.25,1.85,Lille,Lille,0.469,N,1,2,Lille,1.85
396,ligue-1,2016-10-22,19:00,Nancy @ Bordeaux,Nancy,Bordeaux,5.29,3.43,1.78,Bordeaux,Bordeaux,0.516,N,1,1,Draw,3.43
407,ligue-1,2016-10-23,14:00,Saint-Etienne @ Caen,Saint-Etienne,Caen,2.89,3.11,2.66,Caen,Saint-Etienne,0.386,Y,2,0,Saint-Etienne,2.89
411,ligue-1,2016-10-23,16:00,Nice @ Metz,Nice,Metz,2.29,3.29,3.31,Nice,Nice,0.613,N,4,2,Nice,2.29
417,ligue-1,2016-10-23,19:45,Marseille @ Paris SG,Marseille,Paris SG,11.03,5.83,1.28,Paris SG,Paris SG,0.559,N,0,0,Draw,5.83
430,ligue-1,2016-10-28,19:45,Paris SG @ Lille,Paris SG,Lille,1.56,4.03,6.59,Paris SG,Paris SG,0.537,N,1,0,Paris SG,1.56
443,ligue-1,2016-10-29,16:00,Lyon @ Toulouse,Lyon,Toulouse,2.7,3.28,2.69,Toulouse,Lyon,0.404,Y,2,1,Lyon,2.7
448,ligue-1,2016-10-29,19:00,Dijon @ Bastia,Dijon,Bastia,3.65,3.07,2.23,Bastia,Bastia,0.465,N,0,0,Draw,3.07
449,ligue-1,2016-10-29,19:00,Monaco @ Saint-Etienne,Monaco,Saint-Etienne,2.94,3.18,2.55,Saint-Etienne,Monaco,0.491,Y,1,1,Draw,3.18
450,ligue-1,2016-10-29,19:00,Caen @ Nancy,Caen,Nancy,4.06,3.17,2.07,Nancy,Nancy,0.501,N,0,2,Nancy,2.07
451,ligue-1,2016-10-29,19:00,Angers @ Guingamp,Angers,Guingamp,3.48,3.06,2.31,Guingamp,Guingamp,0.587,N,0,1,Guingamp,2.31
452,ligue-1,2016-10-29,19:00,Montpellier @ Lorient,Montpellier,Lorient,3.72,3.4,2.08,Lorient,Montpellier,0.391,Y,2,2,Draw,3.4
462,ligue-1,2016-10-30,14:00,Nantes @ Nice,Nantes,Nice,4.41,3.29,1.96,Nice,Nice,0.666,N,1,4,Nice,1.96
466,ligue-1,2016-10-30,16:00,Metz @ Rennes,Metz,Rennes,6.26,3.88,1.6,Rennes,Rennes,0.533,N,0,1,Rennes,1.6
471,ligue-1,2016-10-30,19:45,Bordeaux @ Marseille,Bordeaux,Marseille,3.58,3.27,2.18,Marseille,Marseille,0.517,N,0,0,Draw,3.27
478,ligue-1,2016-11-04,19:45,Marseille @ Montpellier,Marseille,Montpellier,2.91,3.19,2.58,Montpellier,Marseille,0.381,Y,1,3,Montpellier,2.58
490,ligue-1,2016-11-05,16:00,Nancy @ Monaco,Nancy,Monaco,7.71,4.32,1.47,Monaco,Monaco,0.653,N,0,6,Monaco,1.47
495,ligue-1,2016-11-05,19:00,Lille @ Angers,Lille,Angers,3.45,2.93,2.42,Angers,Angers,0.45,N,0,1,Angers,2.42
496,ligue-1,2016-11-05,19:00,Bastia @ Lyon,Bastia,Lyon,8.51,4.66,1.41,Lyon,Lyon,0.616,N,1,2,Lyon,1.41
497,ligue-1,2016-11-05,19:00,Lorient @ Bordeaux,Lorient,Bordeaux,5.05,3.63,1.76,Bordeaux,Bordeaux,0.599,N,1,2,Bordeaux,1.76
498,ligue-1,2016-11-05,19:00,Guingamp @ Dijon,Guingamp,Dijon,3.0,3.09,2.59,Dijon,Guingamp,0.422,Y,3,3,Draw,3.09
499,ligue-1,2016-11-05,19:00,Toulouse @ Nantes,Toulouse,Nantes,3.1,2.98,2.6,Nantes,Nantes,0.392,N,1,1,Draw,2.98
509,ligue-1,2016-11-06,14:00,Nice @ Caen,Nice,Caen,2.43,3.32,3.02,Nice,Nice,0.615,N,0,1,Caen,3.02
515,ligue-1,2016-11-06,16:00,Saint-Etienne @ Metz,Saint-Etienne,Metz,2.19,3.23,3.59,Saint-Etienne,Metz,0.381,Y,0,0,Draw,3.23
522,ligue-1,2016-11-06,19:45,Rennes @ Paris SG,Rennes,Paris SG,13.64,6.62,1.22,Paris SG,Paris SG,0.592,N,0,4,Paris SG,1.22
523,ligue-1,2016-11-18,18:00,Monaco @ Lorient,Monaco,Lorient,1.96,3.64,3.88,Monaco,Monaco,0.632,N,3,0,Monaco,1.96
