ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
266,bundesliga,2016-09-25,14:30,Schalke 04 @ Hoffenheim,Schalke 04,Hoffenheim,2.39,3.7,2.86,Schalke 04,Hoffenheim,0.604,Y,1,2,Hoffenheim,2.86
277,bundesliga,2016-09-30,19:30,Augsburg @ RB Leipzig,Augsburg,RB Leipzig,5.18,3.68,1.74,RB Leipzig,RB Leipzig,0.636,N,1,2,RB Leipzig,1.74
283,bundesliga,2016-10-01,14:30,Werder Bremen @ Darmstadt,Werder Bremen,Darmstadt,2.42,3.42,2.98,Werder Bremen,Werder Bremen,0.427,N,2,2,Draw,3.42
284,bundesliga,2016-10-01,14:30,Hamburger SV @ Hertha Berlin,Hamburger SV,Hertha Berlin,3.97,3.3,2.05,Hertha Berlin,Hertha Berlin,0.635,N,0,2,Hertha Berlin,2.05
285,bundesliga,2016-10-01,14:30,FC Koln @ Bayern Munich,FC Koln,Bayern Munich,15.96,6.88,1.2,Bayern Munich,Bayern Munich,0.6,N,1,1,Draw,6.88
286,bundesliga,2016-10-01,14:30,Hoffenheim @ Ingolstadt,Hoffenheim,Ingolstadt,3.63,3.42,2.11,Ingolstadt,Hoffenheim,0.545,Y,2,1,Hoffenheim,3.63
287,bundesliga,2016-10-01,14:30,Frankfurt @ Freiburg,Frankfurt,Freiburg,3.07,3.4,2.37,Freiburg,Frankfurt,0.367,Y,0,1,Freiburg,2.37
295,bundesliga,2016-10-01,17:30,Dortmund @ Leverkusen,Dortmund,Leverkusen,2.11,3.72,3.35,Dortmund,Dortmund,0.363,N,0,2,Leverkusen,3.35
316,bundesliga,2016-10-02,16:30,Monchengladb. @ Schalke 04,Monchengladb.,Schalke 04,3.03,3.45,2.37,Schalke 04,Schalke 04,0.491,N,0,4,Schalke 04,2.37
326,bundesliga,2016-10-14,19:30,Hertha Berlin @ Dortmund,Hertha Berlin,Dortmund,7.44,5.02,1.41,Dortmund,Dortmund,0.449,N,1,1,Draw,5.02
332,bundesliga,2016-10-15,14:30,Ingolstadt @ FC Koln,Ingolstadt,FC Koln,4.9,3.44,1.83,FC Koln,FC Koln,0.626,N,1,2,FC Koln,1.83
333,bundesliga,2016-10-15,14:30,Hamburger SV @ Monchengladb.,Hamburger SV,Monchengladb.,5.09,4.01,1.68,Monchengladb.,Monchengladb.,0.504,N,0,0,Draw,4.01
334,bundesliga,2016-10-15,14:30,Bayern Munich @ Frankfurt,Bayern Munich,Frankfurt,1.28,5.77,11.55,Bayern Munich,Bayern Munich,0.433,N,2,2,Draw,5.77
335,bundesliga,2016-10-15,14:30,Freiburg @ Hoffenheim,Freiburg,Hoffenheim,3.63,3.64,2.04,Hoffenheim,Hoffenheim,0.575,N,1,2,Hoffenheim,2.04
336,bundesliga,2016-10-15,14:30,Schalke 04 @ Augsburg,Schalke 04,Augsburg,2.15,3.43,3.52,Schalke 04,Augsburg,0.476,Y,1,1,Draw,3.43
345,bundesliga,2016-10-15,17:30,Leverkusen @ Werder Bremen,Leverkusen,Werder Bremen,1.64,4.37,4.99,Leverkusen,Werder Bremen,0.399,Y,1,2,Werder Bremen,4.99
365,bundesliga,2016-10-16,16:30,RB Leipzig @ Wolfsburg,RB Leipzig,Wolfsburg,3.07,3.33,2.41,Wolfsburg,RB Leipzig,0.567,Y,1,0,RB Leipzig,3.07
371,bundesliga,2016-10-21,19:30,Frankfurt @ Hamburger SV,Frankfurt,Hamburger SV,2.95,3.31,2.51,Hamburger SV,Frankfurt,0.529,Y,3,0,Frankfurt,2.95
376,bundesliga,2016-10-22,14:30,Wolfsburg @ Darmstadt,Wolfsburg,Darmstadt,1.79,3.72,4.66,Wolfsburg,Wolfsburg,0.423,N,1,3,Darmstadt,4.66
377,bundesliga,2016-10-22,14:30,FC Koln @ Hertha Berlin,FC Koln,Hertha Berlin,2.84,3.17,2.68,Hertha Berlin,Hertha Berlin,0.513,N,1,2,Hertha Berlin,2.68
378,bundesliga,2016-10-22,14:30,Dortmund @ Ingolstadt,Dortmund,Ingolstadt,1.61,4.19,5.55,Dortmund,Dortmund,0.511,N,3,3,Draw,4.19
379,bundesliga,2016-10-22,14:30,Hoffenheim @ Leverkusen,Hoffenheim,Leverkusen,5.59,4.32,1.59,Leverkusen,Hoffenheim,0.402,Y,3,0,Hoffenheim,5.59
380,bundesliga,2016-10-22,14:30,Augsburg @ Freiburg,Augsburg,Freiburg,3.67,3.28,2.15,Freiburg,Freiburg,0.5,N,1,2,Freiburg,2.15
389,bundesliga,2016-10-22,17:30,Monchengladb. @ Bayern Munich,Monchengladb.,Bayern Munich,15.72,7.72,1.18,Bayern Munich,Bayern Munich,0.664,N,0,2,Bayern Munich,1.18
408,bundesliga,2016-10-23,14:30,Werder Bremen @ RB Leipzig,Werder Bremen,RB Leipzig,5.8,4.28,1.58,RB Leipzig,RB Leipzig,0.668,N,1,3,RB Leipzig,1.58
428,bundesliga,2016-10-28,19:30,Frankfurt @ Monchengladb.,Frankfurt,Monchengladb.,4.38,3.42,1.93,Monchengladb.,Frankfurt,0.48,Y,0,0,Draw,3.42
433,bundesliga,2016-10-29,14:30,RB Leipzig @ Darmstadt,RB Leipzig,Darmstadt,1.67,3.85,5.53,RB Leipzig,RB Leipzig,0.671,N,2,0,RB Leipzig,1.67
434,bundesliga,2016-10-29,14:30,Freiburg @ Werder Bremen,Freiburg,Werder Bremen,3.19,3.52,2.25,Werder Bremen,Werder Bremen,0.382,N,3,1,Freiburg,3.19
435,bundesliga,2016-10-29,14:30,Leverkusen @ Wolfsburg,Leverkusen,Wolfsburg,2.69,3.46,2.64,Wolfsburg,Wolfsburg,0.412,N,2,1,Leverkusen,2.69
436,bundesliga,2016-10-29,14:30,Bayern Munich @ Augsburg,Bayern Munich,Augsburg,1.2,6.87,16.16,Bayern Munich,Bayern Munich,0.58,N,3,1,Bayern Munich,1.2
445,bundesliga,2016-10-29,17:30,Schalke 04 @ Dortmund,Schalke 04,Dortmund,5.55,4.35,1.59,Dortmund,Dortmund,0.59,N,0,0,Draw,4.35
463,bundesliga,2016-10-30,14:30,Hertha Berlin @ Hoffenheim,Hertha Berlin,Hoffenheim,3.74,3.57,2.03,Hoffenheim,Hoffenheim,0.472,N,0,1,Hoffenheim,2.03
467,bundesliga,2016-10-30,16:30,Hamburger SV @ FC Koln,Hamburger SV,FC Koln,5.61,3.98,1.64,FC Koln,FC Koln,0.609,N,0,3,FC Koln,1.64
476,bundesliga,2016-11-04,19:30,Monchengladb. @ Hertha Berlin,Monchengladb.,Hertha Berlin,2.7,3.21,2.81,Monchengladb.,Hertha Berlin,0.615,Y,0,3,Hertha Berlin,2.81
480,bundesliga,2016-11-05,14:30,Dortmund @ Hamburger SV,Dortmund,Hamburger SV,1.48,4.61,6.8,Dortmund,Dortmund,0.501,N,5,2,Dortmund,1.48
481,bundesliga,2016-11-05,14:30,Augsburg @ Ingolstadt,Augsburg,Ingolstadt,3.24,3.16,2.42,Ingolstadt,Augsburg,0.382,Y,2,0,Augsburg,3.24
482,bundesliga,2016-11-05,14:30,Hoffenheim @ Bayern Munich,Hoffenheim,Bayern Munich,15.18,8.36,1.17,Bayern Munich,Bayern Munich,0.564,N,1,1,Draw,8.36
483,bundesliga,2016-11-05,14:30,Wolfsburg @ Freiburg,Wolfsburg,Freiburg,2.89,3.34,2.53,Freiburg,Freiburg,0.529,N,3,0,Wolfsburg,2.89
484,bundesliga,2016-11-05,14:30,Darmstadt @ Leverkusen,Darmstadt,Leverkusen,9.32,4.91,1.38,Leverkusen,Leverkusen,0.591,N,2,3,Leverkusen,1.38
492,bundesliga,2016-11-05,17:30,FC Koln @ Frankfurt,FC Koln,Frankfurt,2.94,3.24,2.57,Frankfurt,Frankfurt,0.51,N,0,1,Frankfurt,2.57
516,bundesliga,2016-11-06,16:30,Werder Bremen @ Schalke 04,Werder Bremen,Schalke 04,5.87,4.33,1.57,Schalke 04,Schalke 04,0.506,N,1,3,Schalke 04,1.57
524,bundesliga,2016-11-18,19:30,RB Leipzig @ Leverkusen,RB Leipzig,Leverkusen,3.25,3.37,2.3,Leverkusen,RB Leipzig,0.498,Y,3,2,RB Leipzig,3.25
528,bundesliga,2016-11-19,14:30,Ingolstadt @ Darmstadt,Ingolstadt,Darmstadt,2.64,3.11,2.95,Ingolstadt,Darmstadt,0.417,Y,1,0,Ingolstadt,2.64
529,bundesliga,2016-11-19,14:30,Hertha Berlin @ Augsburg,Hertha Berlin,Augsburg,2.99,3.1,2.61,Augsburg,Hertha Berlin,0.439,Y,0,0,Draw,3.1
530,bundesliga,2016-11-19,14:30,Schalke 04 @ Wolfsburg,Schalke 04,Wolfsburg,3.0,3.33,2.46,Wolfsburg,Wolfsburg,0.443,N,1,0,Schalke 04,3.0
