ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
234,laliga,2016-09-24,12:00,Eibar vs Real Sociedad,Eibar,Real Sociedad,2.68,3.15,2.86,Eibar,Eibar,0.401,N,2,0,Eibar,2.68
246,laliga,2016-09-24,15:15,Sporting Gijon vs FC Barcelona,Sporting Gijon,FC Barcelona,13.08,6.41,1.24,FC Barcelona,FC Barcelona,0.603,N,0,5,FC Barcelona,1.24
250,laliga,2016-09-24,17:30,Athletic Bilbao vs FC Sevilla,Athletic Bilbao,FC Sevilla,1.97,3.44,4.17,Athletic Bilbao,FC Sevilla,0.386,Y,3,1,Athletic Bilbao,1.97
257,laliga,2016-09-24,19:45,Las Palmas vs Real Madrid,Las Palmas,Real Madrid,8.79,5.68,1.34,Real Madrid,Real Madrid,0.54,N,2,2,Draw,5.68
259,laliga,2016-09-25,11:00,Leganes vs Valencia,Leganes,Valencia,3.02,3.3,2.46,Valencia,Leganes,0.503,Y,1,2,Valencia,2.46
267,laliga,2016-09-25,15:15,Atletico Madrid vs Deportivo,Atletico Madrid,Deportivo,1.2,6.54,19.3,Atletico Madrid,Atletico Madrid,0.61,N,1,0,Atletico Madrid,1.2
270,laliga,2016-09-25,17:30,Villarreal vs Osasuna,Villarreal,Osasuna,1.38,4.78,9.58,Villarreal,Villarreal,0.67,N,3,1,Villarreal,1.38
271,laliga,2016-09-25,19:45,Espanyol vs Celta Vigo,Espanyol,Celta Vigo,2.3,3.32,3.3,Espanyol,Espanyol,0.499,N,0,2,Celta Vigo,3.3
278,laliga,2016-09-30,19:45,Real Sociedad vs Real Betis,Real Sociedad,Real Betis,1.84,3.53,4.75,Real Sociedad,Real Sociedad,0.578,N,1,0,Real Sociedad,1.84
281,laliga,2016-10-01,12:00,Granada vs Leganes,Granada,Leganes,2.46,3.23,3.1,Granada,Granada,0.381,N,0,1,Leganes,3.1
292,laliga,2016-10-01,15:15,FC Sevilla vs Alaves,FC Sevilla,Alaves,1.42,4.7,8.52,FC Sevilla,FC Sevilla,0.584,N,2,1,FC Sevilla,1.42
296,laliga,2016-10-01,17:30,Osasuna vs Las Palmas,Osasuna,Las Palmas,2.71,3.33,2.7,Las Palmas,Las Palmas,0.506,N,2,2,Draw,3.33
302,laliga,2016-10-01,19:45,Deportivo vs Sporting Gijon,Deportivo,Sporting Gijon,1.86,3.42,4.76,Deportivo,Deportivo,0.531,N,2,1,Deportivo,1.86
304,laliga,2016-10-02,11:00,Valencia vs Atletico Madrid,Valencia,Atletico Madrid,4.53,3.56,1.86,Atletico Madrid,Atletico Madrid,0.504,N,0,2,Atletico Madrid,1.86
314,laliga,2016-10-02,15:15,Real Madrid vs Eibar,Real Madrid,Eibar,1.11,11.01,24.11,Real Madrid,Real Madrid,0.641,N,1,1,Draw,11.01
320,laliga,2016-10-02,17:30,Espanyol vs Villarreal,Espanyol,Villarreal,3.11,3.1,2.53,Villarreal,Espanyol,0.382,Y,0,0,Draw,3.1
321,laliga,2016-10-02,17:30,Malaga vs Athletic Bilbao,Malaga,Athletic Bilbao,2.62,3.1,2.98,Malaga,Malaga,0.426,N,2,1,Malaga,2.62
322,laliga,2016-10-02,19:45,Celta Vigo vs FC Barcelona,Celta Vigo,FC Barcelona,7.53,4.85,1.43,FC Barcelona,FC Barcelona,0.502,N,4,3,Celta Vigo,7.53
327,laliga,2016-10-14,19:45,Las Palmas vs Espanyol,Las Palmas,Espanyol,1.88,3.59,4.36,Las Palmas,Las Palmas,0.445,N,0,0,Draw,3.59
329,laliga,2016-10-15,12:00,Leganes vs FC Sevilla,Leganes,FC Sevilla,3.56,3.39,2.16,FC Sevilla,FC Sevilla,0.533,N,2,3,FC Sevilla,2.16
342,laliga,2016-10-15,15:15,FC Barcelona vs Deportivo,FC Barcelona,Deportivo,1.12,9.81,22.86,FC Barcelona,FC Barcelona,0.643,N,4,0,FC Barcelona,1.12
