ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
80,laliga,2016-08-27,19:15,Celta Vigo @ Real Madrid,Celta Vigo,Real Madrid,16.15,8.01,1.17,Real Madrid,Real Madrid,0.641,N,1,2,Real Madrid,1.17
81,serie-a,2016-08-27,19:45,AC Milan @ Napoli,AC Milan,Napoli,5.94,4.01,1.61,Napoli,Napoli,0.478,N,2,4,Napoli,1.61
82,laliga,2016-08-27,21:15,Atletico Madrid @ Leganes,Atletico Madrid,Leganes,1.49,3.93,8.71,Atletico Madrid,Atletico Madrid,0.458,N,0,0,Draw,3.93
83,premier-league,2016-08-28,13:30,Middlesbrough @ West Bromwich,Middlesbrough,West Bromwich,3.08,3.06,2.61,West Bromwich,West Bromwich,0.523,N,0,0,Draw,3.06
84,ligue-1,2016-08-28,14:00,Nantes @ Bordeaux,Nantes,Bordeaux,4.01,3.09,2.12,Bordeaux,Bordeaux,0.534,N,0,1,Bordeaux,2.12
85,bundesliga,2016-08-28,14:30,Freiburg @ Hertha Berlin,Freiburg,Hertha Berlin,4.01,3.45,1.99,Hertha Berlin,Hertha Berlin,0.571,N,1,2,Hertha Berlin,1.99
86,premier-league,2016-08-28,16:00,West Ham Utd @ Manchester City,West Ham Utd,Manchester City,11.84,6.38,1.26,Manchester City,Manchester City,0.647,N,1,3,Manchester City,1.26
87,ligue-1,2016-08-28,16:00,Toulouse @ Saint-Etienne,Toulouse,Saint-Etienne,3.73,3.14,2.18,Saint-Etienne,Saint-Etienne,0.483,N,0,0,Draw,3.14
88,bundesliga,2016-08-28,16:30,RB Leipzig @ Hoffenheim,RB Leipzig,Hoffenheim,2.98,3.41,2.43,Hoffenheim,Hoffenheim,0.397,N,2,2,Draw,3.41
89,serie-a,2016-08-28,17:00,Palermo @ Inter Milan,Palermo,Inter Milan,10.69,5.47,1.31,Inter Milan,Inter Milan,0.655,N,1,1,Draw,5.47
