,Tm,Season_Yr,R_per_G,PA,AB,B_R,B_H,2B,3B,B_HR,RBI,SB,CS,B_BB,B_SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,B_HBP,SH,SF,B_IBB,B_LOB,RA_per_G,WinLoss_Perc,ERA,CG,tSho,cSho,SV,IP,P_H,P_R,ER,P_HR,P_BB,P_IBB,P_SO,P_HBP,BK,WP,BF,ERA_Plus,FIP,WHIP,H9,HR9,BB9,SO9,SO_per_W,P_LOB
10,HOU,2016,4.47,6204.0,5545.0,724.0,1367.0,291.0,29.0,198.0,689.0,102.0,44.0,554.0,1452.0,0.247,0.319,0.417,0.735,102.0,2310.0,134.0,47.0,27.0,31.0,31.0,1086.0,4.33,0.519,4.06,2.0,8.0,1.0,44.0,1468.0,1441.0,701.0,663.0,181.0,453.0,19.0,1396.0,39.0,2.0,98.0,6180.0,98.0,3.85,1.29,8.8,1.1,2.8,8.6,3.08,1075.0
11,KCR,2016,4.17,6052.0,5552.0,675.0,1450.0,264.0,33.0,147.0,640.0,121.0,35.0,382.0,1224.0,0.261,0.312,0.4,0.712,88.0,2221.0,134.0,45.0,38.0,34.0,23.0,1049.0,4.4,0.5,4.21,3.0,7.0,0.0,41.0,1440.0,1433.0,712.0,674.0,206.0,517.0,8.0,1287.0,60.0,7.0,55.0,6182.0,104.0,4.42,1.354,9.0,1.3,3.2,8.0,2.49,1150.0
12,LAA,2016,4.43,6041.0,5431.0,717.0,1410.0,279.0,20.0,156.0,686.0,73.0,34.0,471.0,991.0,0.26,0.322,0.405,0.726,101.0,2197.0,147.0,51.0,36.0,49.0,21.0,1037.0,4.49,0.457,4.28,4.0,12.0,3.0,29.0,1421.1,1480.0,727.0,676.0,208.0,498.0,27.0,1136.0,56.0,10.0,47.0,6120.0,93.0,4.62,1.392,9.4,1.3,3.2,7.2,2.28,1129.0
13,LAD,2016,4.48,6164.0,5518.0,725.0,1375.0,272.0,21.0,189.0,680.0,45.0,26.0,525.0,1321.0,0.249,0.319,0.409,0.728,98.0,2256.0,120.0,58.0,30.0,32.0,31.0,1106.0,3.94,0.562,3.7,3.0,15.0,3.0,47.0,1453.0,1266.0,638.0,598.0,165.0,464.0,51.0,1510.0,53.0,5.0,58.0,6014.0,106.0,3.61,1.191,7.8,1.0,2.9,9.4,3.25,1017.0
14,MIA,2016,4.07,6134.0,5547.0,655.0,1460.0,259.0,42.0,128.0,626.0,71.0,28.0,447.0,1213.0,0.263,0.322,0.394,0.716,95.0,2187.0,140.0,54.0,46.0,38.0,40.0,1171.0,4.24,0.491,4.05,0.0,12.0,0.0,55.0,1435.0,1358.0,682.0,646.0,152.0,595.0,62.0,1379.0,61.0,3.0,66.0,6164.0,99.0,3.97,1.361,8.5,1.0,3.7,8.6,2.32,1177.0
15,MIL,2016,4.14,6061.0,5330.0,671.0,1299.0,249.0,19.0,194.0,641.0,181.0,56.0,599.0,1543.0,0.244,0.322,0.407,0.729,92.0,2168.0,131.0,37.0,53.0,39.0,34.0,1071.0,4.52,0.451,4.08,0.0,7.0,0.0,46.0,1434.1,1450.0,733.0,650.0,178.0,532.0,33.0,1175.0,66.0,2.0,48.0,6188.0,105.0,4.37,1.382,9.1,1.1,3.3,7.4,2.21,1152.0
16,MIN,2016,4.46,6245.0,5618.0,722.0,1409.0,288.0,35.0,200.0,690.0,91.0,32.0,513.0,1426.0,0.251,0.316,0.421,0.738,99.0,2367.0,96.0,44.0,27.0,43.0,24.0,1124.0,5.49,0.364,5.08,4.0,3.0,1.0,26.0,1443.0,1617.0,889.0,814.0,221.0,479.0,26.0,1191.0,41.0,7.0,83.0,6314.0,82.0,4.57,1.453,10.1,1.4,3.0,7.4,2.49,1096.0
17,NYM,2016,4.14,6115.0,5459.0,671.0,1342.0,240.0,19.0,218.0,649.0,42.0,18.0,517.0,1302.0,0.246,0.316,0.417,0.733,94.0,2274.0,123.0,62.0,35.0,41.0,43.0,1120.0,3.81,0.537,3.58,1.0,13.0,1.0,55.0,1447.0,1398.0,617.0,575.0,152.0,439.0,39.0,1396.0,35.0,7.0,50.0,6067.0,115.0,3.57,1.27,8.7,0.9,2.7,8.7,3.18,1109.0
18,NYY,2016,4.2,6059.0,5458.0,680.0,1377.0,245.0,20.0,183.0,647.0,72.0,22.0,475.0,1188.0,0.252,0.314,0.405,0.72,91.0,2211.0,121.0,42.0,21.0,49.0,19.0,1098.0,4.33,0.519,4.16,0.0,10.0,0.0,48.0,1428.1,1358.0,702.0,660.0,214.0,444.0,15.0,1393.0,57.0,2.0,52.0,6023.0,105.0,4.2,1.262,8.6,1.3,2.8,8.8,3.14,1036.0
19,OAK,2016,4.03,6022.0,5500.0,653.0,1352.0,270.0,21.0,169.0,634.0,50.0,23.0,442.0,1145.0,0.246,0.304,0.395,0.699,93.0,2171.0,142.0,33.0,13.0,34.0,19.0,1036.0,4.7,0.426,4.51,2.0,7.0,1.0,42.0,1433.1,1459.0,761.0,718.0,185.0,464.0,28.0,1188.0,50.0,3.0,70.0,6144.0,88.0,4.24,1.342,9.2,1.2,2.9,7.5,2.56,1083.0
20,PHI,2016,3.77,5992.0,5434.0,610.0,1306.0,231.0,35.0,161.0,575.0,96.0,45.0,424.0,1376.0,0.24,0.301,0.385,0.685,84.0,2090.0,112.0,58.0,46.0,30.0,33.0,1043.0,4.91,0.438,4.63,4.0,12.0,3.0,43.0,1437.0,1468.0,796.0,739.0,213.0,466.0,30.0,1299.0,51.0,9.0,57.0,6164.0,90.0,4.35,1.346,9.2,1.3,2.9,8.1,2.79,1057.0
21,PIT,2016,4.5,6261.0,5542.0,729.0,1426.0,277.0,32.0,153.0,696.0,110.0,45.0,561.0,1334.0,0.257,0.332,0.402,0.734,95.0,2226.0,133.0,81.0,41.0,36.0,39.0,1173.0,4.68,0.484,4.21,5.0,5.0,1.0,51.0,1450.2,1491.0,758.0,679.0,180.0,533.0,28.0,1232.0,68.0,7.0,71.0,6292.0,100.0,4.3,1.395,9.3,1.1,3.3,7.6,2.31,1182.0
22,SDP,2016,4.23,6001.0,5419.0,686.0,1275.0,257.0,26.0,177.0,654.0,125.0,45.0,449.0,1500.0,0.235,0.299,0.39,0.689,85.0,2115.0,93.0,58.0,36.0,36.0,30.0,965.0,4.75,0.42,4.43,1.0,9.0,0.0,35.0,1440.0,1425.0,770.0,708.0,183.0,569.0,44.0,1222.0,53.0,3.0,67.0,6228.0,92.0,4.4,1.385,8.9,1.1,3.6,7.6,2.15,1138.0
23,SEA,2016,4.74,6227.0,5583.0,768.0,1446.0,251.0,17.0,223.0,735.0,56.0,28.0,506.0,1288.0,0.259,0.326,0.43,0.756,106.0,2400.0,138.0,72.0,24.0,41.0,29.0,1099.0,4.36,0.531,4.0,2.0,8.0,2.0,49.0,1457.0,1410.0,707.0,647.0,213.0,460.0,30.0,1318.0,55.0,7.0,52.0,6147.0,102.0,4.3,1.283,8.7,1.3,2.8,8.1,2.87,1069.0
24,SFG,2016,4.41,6271.0,5565.0,715.0,1437.0,280.0,54.0,130.0,675.0,79.0,36.0,572.0,1107.0,0.258,0.329,0.398,0.728,94.0,2215.0,120.0,42.0,42.0,46.0,43.0,1188.0,3.9,0.537,3.65,10.0,11.0,3.0,43.0,1460.1,1333.0,631.0,593.0,158.0,439.0,30.0,1309.0,46.0,6.0,40.0,6048.0,111.0,3.76,1.213,8.2,1.0,2.7,8.1,2.98,1037.0
25,STL,2016,4.81,6223.0,5548.0,779.0,1416.0,300.0,32.0,225.0,745.0,35.0,26.0,526.0,1318.0,0.255,0.325,0.443,0.768,103.0,2455.0,117.0,70.0,37.0,41.0,28.0,1113.0,4.4,0.531,4.08,2.0,10.0,2.0,38.0,1448.1,1432.0,712.0,656.0,159.0,475.0,35.0,1290.0,52.0,1.0,50.0,6164.0,101.0,3.88,1.317,8.9,1.0,3.0,8.0,2.72,1107.0
26,TBR,2016,4.15,6046.0,5481.0,672.0,1333.0,288.0,32.0,216.0,647.0,60.0,37.0,449.0,1482.0,0.243,0.307,0.426,0.733,100.0,2333.0,88.0,69.0,18.0,28.0,20.0,1060.0,4.4,0.42,4.2,1.0,8.0,1.0,42.0,1426.1,1395.0,713.0,665.0,210.0,491.0,25.0,1357.0,32.0,7.0,61.0,6076.0,97.0,4.26,1.322,8.8,1.3,3.1,8.6,2.76,1084.0
27,TEX,2016,4.72,6089.0,5525.0,765.0,1446.0,257.0,23.0,215.0,746.0,99.0,36.0,436.0,1220.0,0.262,0.322,0.433,0.755,96.0,2394.0,114.0,70.0,18.0,40.0,23.0,1038.0,4.67,0.586,4.37,1.0,6.0,0.0,56.0,1443.0,1441.0,757.0,700.0,201.0,534.0,16.0,1154.0,53.0,5.0,45.0,6186.0,103.0,4.58,1.369,9.0,1.3,3.3,7.2,2.16,1100.0
28,TOR,2016,4.69,6233.0,5479.0,759.0,1358.0,276.0,18.0,221.0,728.0,54.0,24.0,632.0,1362.0,0.248,0.33,0.426,0.755,100.0,2333.0,153.0,55.0,26.0,40.0,16.0,1120.0,4.11,0.549,3.78,0.0,10.0,0.0,43.0,1459.1,1340.0,666.0,613.0,183.0,461.0,10.0,1314.0,59.0,7.0,50.0,6113.0,113.0,4.05,1.234,8.3,1.1,2.8,8.1,2.85,1069.0
29,WSN,2016,4.71,6201.0,5490.0,763.0,1403.0,268.0,29.0,203.0,735.0,121.0,39.0,536.0,1252.0,0.256,0.326,0.426,0.751,98.0,2338.0,102.0,64.0,48.0,63.0,49.0,1105.0,3.78,0.586,3.51,1.0,12.0,0.0,46.0,1459.2,1272.0,612.0,570.0,155.0,468.0,43.0,1476.0,57.0,4.0,47.0,6036.0,119.0,3.58,1.192,7.8,1.0,2.9,9.1,3.15,1045.0
