Season_Yr,Visitor_Team,Home_Team,Home_Team_PTS,Visitor_Team_PTS
2015,Los Angeles Clippers,Indiana Pacers,103,96
2015,Portland Trail Blazers,Minnesota Timberwolves,82,90
2015,Washington Wizards,Orlando Magic,91,89
2015,New York Knicks,San Antonio Spurs,95,109
2015,Cleveland Cavaliers,Oklahoma City Thunder,94,103
2015,Houston Rockets,Sacramento Kings,113,109
2015,Orlando Magic,Atlanta Hawks,81,87
2015,New York Knicks,Boston Celtics,101,95
2015,Philadelphia 76ers,Brooklyn Nets,70,88
2015,Portland Trail Blazers,Chicago Bulls,106,115
2015,Charlotte Hornets,Memphis Grizzlies,107,113
2015,Oklahoma City Thunder,Minnesota Timberwolves,111,92
2015,Cleveland Cavaliers,New Orleans Pelicans,114,119
2015,Detroit Pistons,Phoenix Suns,105,103
2015,Los Angeles Lakers,San Antonio Spurs,112,110
2015,Indiana Pacers,Toronto Raptors,94,106
2015,Miami Heat,Utah Jazz,100,95
2015,Los Angeles Clippers,Washington Wizards,96,104
2015,Brooklyn Nets,Charlotte Hornets,114,87
2015,Golden State Warriors,Dallas Mavericks,105,98
2015,Denver Nuggets,Houston Rockets,96,108
2015,Portland Trail Blazers,Indiana Pacers,95,85
2015,Los Angeles Clippers,Milwaukee Bucks,106,111
2015,Atlanta Hawks,Orlando Magic,99,100
2015,Memphis Grizzlies,Philadelphia 76ers,120,115
2015,Detroit Pistons,Sacramento Kings,95,90
2015,San Antonio Spurs,Denver Nuggets,99,91
2015,Chicago Bulls,Miami Heat,93,75
2015,Los Angeles Lakers,Minnesota Timberwolves,100,94
2015,Golden State Warriors,New Orleans Pelicans,128,122
2015,Toronto Raptors,New York Knicks,95,90
2015,Phoenix Suns,Oklahoma City Thunder,88,112
2015,Utah Jazz,Washington Wizards,84,93
2015,Chicago Bulls,Atlanta Hawks,86,93
2015,Charlotte Hornets,Cleveland Cavaliers,88,97
2015,Los Angeles Lakers,Indiana Pacers,91,110
2015,Detroit Pistons,Los Angeles Clippers,91,113
2015,Boston Celtics,Philadelphia 76ers,105,87
2015,Milwaukee Bucks,Phoenix Suns,96,94
2015,San Antonio Spurs,Portland Trail Blazers,95,108
2015,Orlando Magic,Toronto Raptors,82,95
2015,Miami Heat,Brooklyn Nets,95,91
2015,Golden State Warriors,Memphis Grizzlies,98,105
2015,Utah Jazz,New Orleans Pelicans,111,119
2015,Dallas Mavericks,New York Knicks,107,87
2015,Oklahoma City Thunder,Sacramento Kings,104,92
2015,Minnesota Timberwolves,Washington Wizards,95,109
2015,Orlando Magic,Boston Celtics,92,109
2015,Phoenix Suns,Charlotte Hornets,111,106
2015,Atlanta Hawks,Cleveland Cavaliers,127,98
2015,Houston Rockets,Denver Nuggets,115,111
2015,Dallas Mavericks,Detroit Pistons,117,106
2015,Indiana Pacers,Los Angeles Clippers,100,102
2015,Utah Jazz,Miami Heat,105,87
2015,Milwaukee Bucks,Portland Trail Blazers,97,104
2015,Memphis Grizzlies,San Antonio Spurs,117,116
2015,Brooklyn Nets,Toronto Raptors,89,105
2015,New York Knicks,Chicago Bulls,97,103
2015,Oklahoma City Thunder,Golden State Warriors,109,114
2015,New Orleans Pelicans,Houston Rockets,99,90
2015,Milwaukee Bucks,Sacramento Kings,108,107
2015,Minnesota Timberwolves,Boston Celtics,98,114
2015,Brooklyn Nets,Cleveland Cavaliers,91,95
2015,Los Angeles Clippers,Denver Nuggets,106,109
2015,Toronto Raptors,Detroit Pistons,110,100
2015,Oklahoma City Thunder,Los Angeles Lakers,104,103
2015,Chicago Bulls,Memphis Grizzlies,103,97
2015,Washington Wizards,Miami Heat,105,103
2015,Utah Jazz,Orlando Magic,101,94
2015,Charlotte Hornets,Philadelphia 76ers,109,91
2015,Portland Trail Blazers,San Antonio Spurs,129,119
2015,Utah Jazz,Charlotte Hornets,86,104
2015,San Antonio Spurs,Dallas Mavericks,93,99
2015,Indiana Pacers,Denver Nuggets,73,76
2015,Atlanta Hawks,Houston Rockets,104,97
2015,Milwaukee Bucks,Los Angeles Clippers,102,106
2015,Portland Trail Blazers,New Orleans Pelicans,114,88
2015,Phoenix Suns,New York Knicks,99,90
2015,Detroit Pistons,Brooklyn Nets,105,110
2015,Memphis Grizzlies,Cleveland Cavaliers,91,105
2015,Boston Celtics,Miami Heat,84,100
2015,Indiana Pacers,Minnesota Timberwolves,100,96
2015,New Orleans Pelicans,Oklahoma City Thunder,101,99
2015,Philadelphia 76ers,Orlando Magic,96,88
2015,Los Angeles Lakers,Sacramento Kings,101,108
2015,New York Knicks,Toronto Raptors,108,118
2015,Phoenix Suns,Washington Wizards,104,92
2015,Toronto Raptors,Chicago Bulls,120,129
2015,Denver Nuggets,Charlotte Hornets,82,110
2015,Atlanta Hawks,Dallas Mavericks,105,102
2015,Sacramento Kings,Golden State Warriors,108,128
2015,Portland Trail Blazers,Houston Rockets,95,110
2015,Utah Jazz,Memphis Grizzlies,97,91
2015,Los Angeles Clippers,San Antonio Spurs,118,125
2015,Los Angeles Clippers,Atlanta Hawks,104,107
2015,Denver Nuggets,Brooklyn Nets,96,102
2015,Minnesota Timberwolves,Cleveland Cavaliers,104,125
2015,New Orleans Pelicans,Indiana Pacers,84,96
2015,Golden State Warriors,Los Angeles Lakers,105,115
2015,Philadelphia 76ers,Miami Heat,91,87
2015,Charlotte Hornets,Milwaukee Bucks,108,101
2015,Portland Trail Blazers,Oklahoma City Thunder,115,111
2015,Boston Celtics,Orlando Magic,95,100
2015,Dallas Mavericks,Phoenix Suns,115,124
2015,Chicago Bulls,Washington Wizards,99,91
2015,Los Angeles Lakers,Chicago Bulls,93,113
2015,Golden State Warriors,Los Angeles Clippers,86,100
2015,Cleveland Cavaliers,Miami Heat,91,101
