Kansas City Royals - Chicago White Sox,4 1,2.15,1.74
Detroit Tigers - Minnesota Twins,7 1,2.20,1.72
Washington Nationals - New York Mets,3 6,1.97,1.88
Cincinnati Reds - Pittsburgh Pirates,3 2,1.88,1.97
Los Angeles Dodgers - San Diego Padres,7 4,2.08,1.79
Seattle Mariners - Los Angeles Angels,3 5,2.13,1.76
Oakland Athletics - Texas Rangers,10 0,2.36,1.63
Arizona Diamondbacks - San Francisco Giants,2 5,2.01,1.85
Houston Astros - Cleveland Indians,0 2,1.79,2.08
Kansas City Royals - Chicago White Sox,7 5,2.04,1.82
Milwaukee Brewers - Colorado Rockies,4 5,2.19,1.72
Cincinnati Reds - Pittsburgh Pirates,5 4,1.82,2.05
Miami Marlins - Atlanta Braves,0 2,2.16,1.74
Tampa Bay Rays - Baltimore Orioles,2 0,1.99,1.86
New York Yankees - Toronto Blue Jays,4 3,2.12,1.76
Philadelphia Phillies - Boston Red Sox,4 2,1.69,2.23
Washington Nationals - New York Mets,2 1,2.20,1.71
Chicago Cubs - St.Louis Cardinals,2 0,1.95,1.89
Detroit Tigers - Minnesota Twins,11 0,2.43,1.60
Los Angeles Dodgers - San Diego Padres,3 7,2.30,1.67
Seattle Mariners - Los Angeles Angels,0 2,2.05,1.82
Oakland Athletics - Texas Rangers,1 3,2.38,1.62
Arizona Diamondbacks - San Francisco Giants,7 6,1.92,1.94
Milwaukee Brewers - Colorado Rockies,2 5,2.12,1.77
Los Angeles Dodgers - Seattle Mariners,6 5,1.86,2.00
San Diego Padres - Arizona Diamondbacks,5 1,2.14,1.75
Houston Astros - Oakland Athletics,0 4,1.96,1.90
Chicago Cubs - Cincinnati Reds,2 3,2.30,1.67
Texas Rangers - Los Angeles Angels,8 2,1.86,2.00
Atlanta Braves - Miami Marlins,2 8,1.84,2.02
Cleveland Indians - Chicago White Sox,1 4,2.06,1.81
New York Mets - Philadelphia Phillies,6 5,2.82,1.47
Toronto Blue Jays - Tampa Bay Rays,2 3,2.27,1.68
Baltimore Orioles - New York Yankees,4 3,1.95,1.90
Pittsburgh Pirates - Detroit Tigers,0 2,2.02,1.85
Boston Red Sox - Washington Nationals,8 7,2.13,1.77
Los Angeles Dodgers - Seattle Mariners,6 5,2.07,1.81
San Diego Padres - Arizona Diamondbacks,4 8,2.36,1.63
Houston Astros - Oakland Athletics,1 8,1.85,2.01
Chicago Cubs - Cincinnati Reds,7 6,2.22,1.71
Texas Rangers - Los Angeles Angels,3 6,1.73,2.19
Atlanta Braves - Miami Marlins,3 2,1.94,1.91
Toronto Blue Jays - Tampa Bay Rays,1 2,2.17,1.74
Baltimore Orioles - New York Yankees,5 6,1.96,1.90
San Francisco Giants - Colorado Rockies,0 2,2.16,1.74
St.Louis Cardinals - Milwaukee Brewers,4 5,2.49,1.58
Minnesota Twins - Kansas City Royals,3 12,1.75,2.15
Boston Red Sox - Washington Nationals,9 4,2.20,1.71
Pittsburgh Pirates - Detroit Tigers,5 4,2.18,1.73
New York Mets - Philadelphia Phillies,2 0,2.48,1.58
New York Yankees - Boston Red Sox,14 4,2.04,1.84
Arizona Diamondbacks - Los Angeles Dodgers,4 7,1.67,2.29
Colorado Rockies - Chicago Cubs,5 6,1.94,1.91
San Diego Padres - San Francisco Giants,6 4,2.16,1.74
Oakland Athletics - Seattle Mariners,7 8,1.71,2.20
Los Angeles Angels - Kansas City Royals,2 9,2.01,1.84
Texas Rangers - Houston Astros,4 6,1.79,2.07
Chicago White Sox - Minnesota Twins,6 2,2.44,1.59
Milwaukee Brewers - Pittsburgh Pirates,2 10,1.96,1.89
Atlanta Braves - New York Mets,3 4,2.07,1.80
Baltimore Orioles - Toronto Blue Jays,7 10,2.02,1.84
Philadelphia Phillies - Washington Nationals,3 4,1.51,2.67
Cincinnati Reds - St.Louis Cardinals,5 7,1.81,2.05
Cleveland Indians - Detroit Tigers,5 8,1.84,2.01
Miami Marlins - Tampa Bay Rays,5 8,2.07,1.79
Los Angeles Angels - Kansas City Royals,4 6,2.15,1.74
San Diego Padres - San Francisco Giants,10 2,1.95,1.89
Arizona Diamondbacks - Los Angeles Dodgers,6 0,1.49,2.74
Colorado Rockies - Chicago Cubs,5 9,1.95,1.89
Texas Rangers - Houston Astros,6 2,2.07,1.79
Atlanta Braves - New York Mets,5 3,2.05,1.81
Milwaukee Brewers - Pittsburgh Pirates,6 0,2.09,1.79
Baltimore Orioles - Toronto Blue Jays,7 1,1.95,1.89
Philadelphia Phillies - Washington Nationals,3 2,1.90,1.95
San Francisco Giants - Arizona Diamondbacks,4 1,2.26,1.68
Houston Astros - Los Angeles Angels,4 0,2.02,1.85
Kansas City Royals - Oakland Athletics,0 5,2.11,1.77
New York Mets - Miami Marlins,5 4,2.20,1.72
Tampa Bay Rays - New York Yankees,0 9,1.91,1.95
Pittsburgh Pirates - Milwaukee Brewers,6 2,2.21,1.72
Boston Red Sox - Baltimore Orioles,1 4,2.13,1.77
Chicago Cubs - San Diego Padres,7 6,2.00,1.87
St.Louis Cardinals - Cincinnati Reds,5 2,2.27,1.68
Minnesota Twins - Cleveland Indians,2 4,1.94,1.91
Detroit Tigers - Chicago White Sox,3 12,1.99,1.87
Toronto Blue Jays - Atlanta Braves,6 5,2.49,1.58
Washington Nationals - Philadelphia Phillies,3 5,2.53,1.56
San Francisco Giants - Arizona Diamondbacks,0 9,2.27,1.68
Los Angeles Dodgers - Colorado Rockies,7 3,3.30,1.36
Seattle Mariners - Texas Rangers,1 3,2.41,1.61
