,Tm,Season_Yr,PF_Off,Yds_Off,Ply_Off,Y_Per_P_Off,TO_Off,FL_Off,1stD_Off,Cmp_Off,Att_Off,TD_Off,Int_Off,NY_Per_A_Off,Y_Per_A_Off,Pen_Off,1stPy_Off,Sc_Perc_Off,TO_Perc_Off,EXP_Off,Cmp_POff,Att_POff,Cmp_Perc_Off,Yds_POff,TD_POff,TD_Perc_Off,Int_POff,Int_Perc_Off,Lng,Y_Per_A_POff,AY_Per_A_Off,Y_Per_C_Off,Y_Per_G_Off,Rate_Off,Sk_Off,NY_Per_A_POff,ANY_Per_A_Off,Sk_Perc_Off,4QC,GWD,EXP_POff,PF_Def,Yds_Def,Ply_Def,Y_Per_P_Def,TO_Def,FL_Def,1stD_Def,Cmp_Def,Att_Def,TD_Def,Int_Def,NY_Per_A_Def,Y_Per_A_Def,Pen_Def,1stPy_Def,Sc_Perc_Def,TO_Perc_Def,EXP_Def,Cmp_PDef,Att_PDef,Cmp_Perc_Def,Yds_PDef,TD_PDef,TD_Perc_Def,Int_PDef,Int_Perc_Def,Y_Per_A_PDef,AY_Per_A_Def,Y_Per_C_Def,Y_Per_G_Def,Rate_Def,Sk_Def,NY_Per_A_PDef,ANY_Per_A_Def,Sk_Perc_Def,EXP_PDef
10,Detroit Lions,2016,205,3040,537,5.7,6,1,185,214,318,18,5,6.7,3.9,66,24,43.5,7.1,1.63,214,318,67.3,2259,18,5.7,5,1.6,73,7.5,7.9,11.1,251.0,101.6,20,6.7,7.1,5.9,5.0,5.0,38.31,206,3297,557,5.9,7,3,196,232,313,20,4,7.0,4.3,69,17,42.5,8.0,-76.16,232,313,74.1,2334,20,6.4,4,1.3,7.8,8.5,10.6,259.3,112.4,20,7.0,7.7,6.0,-95.66
11,Carolina Panthers,2016,204,2959,537,5.5,17,7,172,174,291,11,10,6.5,4.1,54,13,36.2,16.0,17.36,174,291,59.8,2033,11,3.8,10,3.4,78,7.5,6.7,12.6,254.1,81.5,21,6.5,5.8,6.7,0.0,0.0,27.68,206,2908,511,5.7,11,3,158,195,298,17,8,7.1,3.3,59,5,34.0,11.0,-6.05,195,298,65.4,2288,17,5.7,8,2.7,8.2,8.1,12.5,286.0,98.5,24,7.1,7.0,7.5,-32.29
12,Philadelphia Eagles,2016,202,2667,506,5.3,9,4,156,177,276,9,5,6.2,4.0,65,15,40.7,9.9,-36.11,177,276,64.1,1805,9,3.3,5,1.8,73,6.8,6.7,10.7,225.6,87.4,17,6.2,6.0,5.8,0.0,0.0,0.56,145,2604,492,5.3,15,7,152,159,275,12,8,5.9,4.4,52,20,26.6,14.9,45.89,159,275,57.8,1747,12,4.4,8,2.9,6.9,6.4,11.9,218.4,81.4,23,5.9,5.5,7.7,32.45
13,Green Bay Packers,2016,198,2801,524,5.3,11,6,183,202,318,20,5,5.8,4.5,45,24,43.0,12.8,43.07,202,318,63.5,1948,20,6.3,5,1.6,58,6.4,7.0,10.1,243.5,96.1,17,5.8,6.3,5.1,0.0,0.0,58.83,187,2606,475,5.5,10,3,155,171,270,14,7,6.9,3.3,60,13,42.7,11.0,-17.54,171,270,63.3,2000,14,5.2,7,2.6,7.9,7.8,12.5,250.0,94.3,21,6.9,6.8,7.2,-45.96
14,Washington Redskins,2016,186,3282,531,6.2,11,4,186,216,322,12,7,7.2,4.5,66,20,41.4,11.5,65.15,216,322,67.1,2390,12,3.7,7,2.2,57,7.7,7.5,11.5,298.8,93.5,11,7.2,7.0,3.3,3.0,2.0,91.39,189,2958,511,5.8,11,6,185,188,285,8,5,6.4,4.9,61,21,38.6,12.0,-60.96,188,285,66.0,1968,8,2.8,5,1.8,7.4,7.2,11.2,246.0,89.9,22,6.4,6.2,7.2,-58.5
15,Kansas City Chiefs,2016,185,2739,508,5.4,7,5,152,190,289,11,2,6.3,4.0,47,8,36.6,7.5,-11.45,190,289,65.7,1933,11,3.8,2,0.7,49,7.1,7.5,10.8,241.6,96.2,19,6.3,6.7,6.2,1.0,1.0,38.61,151,2954,520,5.7,20,8,161,186,298,15,12,6.2,4.8,45,10,27.7,19.1,55.93,186,298,62.4,1958,15,5.0,12,4.0,6.9,6.1,11.0,244.8,82.8,16,6.2,5.5,5.1,8.15
16,Pittsburgh Steelers,2016,184,2883,514,5.6,10,2,152,197,319,18,8,6.4,4.2,55,12,30.9,10.3,8.61,197,319,61.8,2115,18,5.6,8,2.5,72,7.0,7.0,11.3,264.4,91.0,13,6.4,6.4,3.9,0.0,0.0,30.04,171,3005,505,6.0,9,5,160,201,305,9,4,7.0,4.2,57,17,34.0,8.5,-8.2,201,305,65.9,2208,9,3.0,4,1.3,7.4,7.4,11.3,276.0,92.3,11,7.0,7.0,3.5,-41.56
17,Baltimore Ravens,2016,182,2997,622,4.8,14,5,176,238,381,9,9,5.5,3.5,72,25,32.1,9.8,-86.02,238,381,62.5,2224,9,2.4,9,2.4,95,6.3,5.7,10.0,247.1,78.2,20,5.5,5.0,5.0,2.0,2.0,-38.57,160,2534,529,4.8,17,6,134,198,313,16,11,5.6,3.3,66,13,22.1,15.0,78.5,198,313,63.3,1892,16,5.1,11,3.5,6.6,6.0,10.4,210.2,84.6,22,5.6,5.1,6.6,25.82
18,Tampa Bay Buccaneers,2016,180,2858,557,5.1,14,5,174,191,317,18,9,6.0,3.9,58,23,29.0,14.0,-26.36,191,317,60.3,1994,18,5.7,9,2.8,45,6.7,6.5,11.1,249.3,87.2,18,6.0,5.8,5.4,0.0,1.0,17.09,232,3191,530,6.0,11,7,177,177,285,18,4,7.4,4.1,67,14,40.6,9.4,-34.35,177,285,62.1,2248,18,6.3,4,1.4,8.3,8.9,13.3,281.0,103.5,17,7.4,8.0,5.6,-54.15
19,Arizona Cardinals,2016,179,2995,566,5.3,12,4,182,194,326,12,8,6.0,4.2,55,17,29.0,12.0,11.06,194,326,59.5,2093,12,3.7,8,2.5,58,6.9,6.5,11.6,261.6,82.5,25,6.0,5.6,7.1,0.0,0.0,24.51,140,2376,505,4.7,15,6,134,159,272,5,9,5.3,3.9,60,8,25.5,14.3,51.45,159,272,58.5,1559,5,1.8,9,3.3,6.2,5.1,10.7,194.9,69.1,21,5.3,4.3,7.2,24.4
20,Cleveland Browns,2016,175,3213,599,5.4,15,4,179,215,358,11,11,5.7,4.7,63,15,27.4,13.3,-23.77,215,358,60.1,2223,11,3.1,11,3.1,58,6.8,6.0,11.2,222.3,77.7,30,5.7,5.0,7.7,0.0,0.0,7.35,301,4191,678,6.2,10,2,237,225,344,25,8,7.7,4.5,58,16,42.6,7.8,-96.21,225,344,65.4,2754,25,7.3,8,2.3,8.3,8.7,12.7,275.4,105.8,16,7.7,8.0,4.4,-96.9
21,Miami Dolphins,2016,173,2721,462,5.9,11,4,143,156,242,8,7,6.7,4.9,61,13,31.9,11.7,-10.64,156,242,64.5,1744,8,3.3,7,2.9,74,7.8,7.1,12.0,218.0,87.1,19,6.7,6.1,7.3,1.0,2.0,-7.01,182,2900,526,5.5,8,3,162,168,268,11,5,6.3,4.6,61,20,36.6,8.6,-2.81,168,268,62.7,1811,11,4.1,5,1.9,7.3,7.2,11.6,226.4,90.4,19,6.3,6.3,6.6,-11.25
