ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
60,2016-11-06,02:30,Phoenix Suns @ Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,2.53,1.57,Los Angeles Lakers,Los Angeles Lakers,0.816,N,Los Angeles Lakers,1.57
61,2016-11-06,17:00,Utah Jazz @ New York Knicks,Utah Jazz,New York Knicks,1.72,2.21,Utah Jazz,Utah Jazz,0.716,N,Utah Jazz,1.72
62,2016-11-06,20:30,Portland Trail Blazers @ Memphis Grizzlies,Portland Trail Blazers,Memphis Grizzlies,1.93,1.93,,Portland Trail Blazers,0.553,Y,Portland Trail Blazers,1.93
63,2016-11-06,23:00,Sacramento Kings @ Toronto Raptors,Sacramento Kings,Toronto Raptors,4.26,1.26,Toronto Raptors,Toronto Raptors,0.908,N,Sacramento Kings,4.26
64,2016-11-07,00:00,Indiana Pacers @ Charlotte Hornets,Indiana Pacers,Charlotte Hornets,2.29,1.68,Charlotte Hornets,Charlotte Hornets,0.904,N,Charlotte Hornets,1.68
65,2016-11-07,00:00,Utah Jazz @ Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,1.45,2.9,Utah Jazz,Utah Jazz,0.878,N,Utah Jazz,1.45
66,2016-11-07,00:00,Houston Rockets @ Washington Wizards,Houston Rockets,Washington Wizards,2.0,1.88,Washington Wizards,Houston Rockets,0.519,Y,Houston Rockets,2.0
67,2016-11-07,01:00,Orlando Magic @ Chicago Bulls,Orlando Magic,Chicago Bulls,3.43,1.35,Chicago Bulls,Chicago Bulls,0.936,N,Chicago Bulls,1.35
68,2016-11-07,01:00,Miami Heat @ Oklahoma City Thunder,Miami Heat,Oklahoma City Thunder,2.95,1.44,Oklahoma City Thunder,Oklahoma City Thunder,0.797,N,Oklahoma City Thunder,1.44
69,2016-11-07,03:30,New Orleans Pelicans @ Golden State Warriors,New Orleans Pelicans,Golden State Warriors,20.01,1.02,Golden State Warriors,Golden State Warriors,0.928,N,Golden State Warriors,1.02
70,2016-11-07,03:30,Detroit Pistons @ Los Angeles Clippers,Detroit Pistons,Los Angeles Clippers,4.39,1.24,Los Angeles Clippers,Los Angeles Clippers,0.967,N,Los Angeles Clippers,1.24
71,2016-11-08,00:00,Atlanta Hawks @ Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers,4.01,1.28,Cleveland Cavaliers,Cleveland Cavaliers,0.52,N,Atlanta Hawks,4.01
