ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
136,Los Angeles Lakers,0,New Orleans Pelicans,1,1,0,0.71178080674,2016-11-12
137,Brooklyn Nets,0,Phoenix Suns,1,1,1,0.667853753038,2016-11-12
138,New York Knicks,0,Toronto Raptors,1,1,1,0.909386653597,2016-11-12
139,Charlotte Hornets,0,Cleveland Cavaliers,1,1,1,0.634626126478,2016-11-13
140,Phoenix Suns,0,Golden State Warriors,1,1,1,0.876634376099,2016-11-13
141,Los Angeles Lakers,0,Minnesota Timberwolves,1,1,0,0.520107678513,2016-11-13
142,Orlando Magic,0,Oklahoma City Thunder,1,1,1,0.960982820211,2016-11-13
143,Denver Nuggets,0,Portland Trail Blazers,1,1,1,0.670737659657,2016-11-13
144,Oklahoma City Thunder,0,Detroit Pistons,1,1,0,0.524908007481,2016-11-14
145,Philadelphia 76ers,0,Houston Rockets,1,1,1,0.935402620835,2016-11-14
146,Orlando Magic,0,Indiana Pacers,1,1,1,0.838459246461,2016-11-14
147,Brooklyn Nets,0,Los Angeles Clippers,1,1,1,0.985453573931,2016-11-14
148,Boston Celtics,0,New Orleans Pelicans,1,1,1,0.523045034535,2016-11-14
149,Dallas Mavericks,0,New York Knicks,1,1,1,0.662718085006,2016-11-14
150,Miami Heat,0,San Antonio Spurs,1,1,1,0.855656128243,2016-11-14
151,Memphis Grizzlies,0,Utah Jazz,1,1,1,0.916155076392,2016-11-14
152,Toronto Raptors,0,Cleveland Cavaliers,1,1,1,0.594912932495,2016-11-15
153,Brooklyn Nets,0,Los Angeles Lakers,1,1,1,0.831620956313,2016-11-15
154,Atlanta Hawks,0,Miami Heat,1,1,0,0.681592392266,2016-11-15
155,Charlotte Hornets,0,Minnesota Timberwolves,1,1,0,0.669529085186,2016-11-15
156,Chicago Bulls,0,Portland Trail Blazers,1,1,1,0.543927961867,2016-11-15
157,Milwaukee Bucks,0,Atlanta Hawks,1,1,1,0.890177482573,2016-11-16
158,Dallas Mavericks,0,Boston Celtics,1,1,1,0.646628382721,2016-11-16
159,Phoenix Suns,0,Denver Nuggets,1,1,1,0.720834582631,2016-11-16
160,Cleveland Cavaliers,0,Indiana Pacers,1,1,0,0.737541382326,2016-11-16
161,Memphis Grizzlies,0,Los Angeles Clippers,1,1,1,0.98811017509,2016-11-16
162,Detroit Pistons,0,New York Knicks,1,1,0,0.543969792871,2016-11-16
163,Houston Rockets,0,Oklahoma City Thunder,1,1,1,0.73108474788,2016-11-16
164,New Orleans Pelicans,0,Orlando Magic,1,1,0,0.502655438616,2016-11-16
165,Washington Wizards,0,Philadelphia 76ers,1,1,0,0.69706729886,2016-11-16
166,San Antonio Spurs,0,Sacramento Kings,1,1,0,0.779158757672,2016-11-16
167,Golden State Warriors,0,Toronto Raptors,1,1,1,0.712273461154,2016-11-16
168,Portland Trail Blazers,0,Houston Rockets,1,1,1,0.753126576557,2016-11-17
169,Milwaukee Bucks,0,Miami Heat,1,1,1,0.677823160753,2016-11-17
170,Philadelphia 76ers,0,Minnesota Timberwolves,1,1,1,0.868852219719,2016-11-17
171,Chicago Bulls,0,Utah Jazz,1,1,1,0.764902102307,2016-11-17
172,New York Knicks,0,Washington Wizards,1,1,1,0.72362286917,2016-11-17
173,Golden State Warriors,0,Boston Celtics,1,1,0,0.707490391578,2016-11-18
174,Atlanta Hawks,0,Charlotte Hornets,1,1,1,0.529296174337,2016-11-18
175,Detroit Pistons,0,Cleveland Cavaliers,1,1,1,0.792293732385,2016-11-18
176,Memphis Grizzlies,0,Dallas Mavericks,1,1,1,0.687538779445,2016-11-18
177,Toronto Raptors,0,Denver Nuggets,1,1,0,0.67774845883,2016-11-18
178,Phoenix Suns,0,Indiana Pacers,1,1,1,0.611937387244,2016-11-18
179,San Antonio Spurs,0,Los Angeles Lakers,1,1,0,0.586979699686,2016-11-18
180,Portland Trail Blazers,0,New Orleans Pelicans,1,1,0,0.6201469478,2016-11-18
181,Brooklyn Nets,0,Oklahoma City Thunder,1,1,1,0.893159976164,2016-11-18
182,Los Angeles Clippers,0,Sacramento Kings,1,1,0,0.94979849573,2016-11-18
183,Boston Celtics,0,Detroit Pistons,1,1,1,0.805785388501,2016-11-19
184,Utah Jazz,0,Houston Rockets,1,1,1,0.527915380522,2016-11-19
185,Chicago Bulls,0,Los Angeles Clippers,1,1,1,0.961158137638,2016-11-19
186,Minnesota Timberwolves,0,Memphis Grizzlies,1,1,1,0.51049105314,2016-11-19
187,Golden State Warriors,0,Milwaukee Bucks,1,1,0,0.57343623689,2016-11-19
188,Charlotte Hornets,0,New Orleans Pelicans,1,1,0,0.82195225573,2016-11-19
189,Dallas Mavericks,0,Orlando Magic,1,1,0,0.619980339161,2016-11-19
190,Phoenix Suns,0,Philadelphia 76ers,1,1,0,0.618924826021,2016-11-19
191,Miami Heat,0,Washington Wizards,1,1,1,0.572051346773,2016-11-19
192,Portland Trail Blazers,0,Brooklyn Nets,1,1,0,0.501985597702,2016-11-20
193,Utah Jazz,0,Denver Nuggets,1,1,0,0.631757316566,2016-11-20
194,Chicago Bulls,0,Los Angeles Lakers,1,1,1,0.643374961412,2016-11-20
195,Atlanta Hawks,0,New York Knicks,1,1,0,0.807427092384,2016-11-20
196,Indiana Pacers,0,Oklahoma City Thunder,1,1,1,0.89518334949,2016-11-20
197,Toronto Raptors,0,Sacramento Kings,1,1,0,0.753058415336,2016-11-20
198,Memphis Grizzlies,0,Charlotte Hornets,1,1,1,0.918870270861,2016-11-21
199,Houston Rockets,0,Detroit Pistons,1,1,1,0.577556013582,2016-11-21
200,Golden State Warriors,0,Indiana Pacers,1,1,0,0.714594499236,2016-11-21
201,Toronto Raptors,0,Los Angeles Clippers,1,1,1,0.917804498897,2016-11-21
202,Orlando Magic,0,Milwaukee Bucks,1,1,1,0.906253768905,2016-11-21
203,Boston Celtics,0,Minnesota Timberwolves,1,1,1,0.714189658972,2016-11-21
204,Miami Heat,0,Philadelphia 76ers,1,1,0,0.755989405847,2016-11-21
205,Dallas Mavericks,0,San Antonio Spurs,1,1,1,0.926879120103,2016-11-21
206,Phoenix Suns,0,Washington Wizards,1,1,1,0.718301914627,2016-11-21
207,New Orleans Pelicans,0,Atlanta Hawks,1,1,1,0.959894942415,2016-11-22
208,Chicago Bulls,0,Denver Nuggets,1,1,1,0.513075201929,2016-11-22
209,Oklahoma City Thunder,0,Los Angeles Lakers,1,1,1,0.515344173652,2016-11-22
210,Portland Trail Blazers,0,New York Knicks,1,1,1,0.519098586255,2016-11-22
211,Boston Celtics,0,Brooklyn Nets,1,1,1,0.639795127237,2016-11-23
212,San Antonio Spurs,0,Charlotte Hornets,1,1,1,0.568096312001,2016-11-23
213,Portland Trail Blazers,0,Cleveland Cavaliers,1,1,1,0.8308373667,2016-11-23
214,Los Angeles Clippers,0,Dallas Mavericks,1,1,0,0.954514245857,2016-11-23
215,Miami Heat,0,Detroit Pistons,1,1,1,0.663603905449,2016-11-23
216,Los Angeles Lakers,0,Golden State Warriors,1,1,1,0.743124534051,2016-11-23
217,Toronto Raptors,0,Houston Rockets,1,1,0,0.522959564923,2016-11-23
218,Atlanta Hawks,0,Indiana Pacers,1,1,0,0.823338904446,2016-11-23
219,Minnesota Timberwolves,0,New Orleans Pelicans,1,1,0,0.55870416874,2016-11-23
220,Phoenix Suns,0,Orlando Magic,1,1,0,0.64649670319,2016-11-23
221,Memphis Grizzlies,0,Philadelphia 76ers,1,1,0,0.54235047071,2016-11-23
222,Oklahoma City Thunder,0,Sacramento Kings,1,1,0,0.70012250273,2016-11-23
223,Denver Nuggets,0,Utah Jazz,1,1,1,0.847497005378,2016-11-23
224,San Antonio Spurs,0,Boston Celtics,1,1,0,0.793767711326,2016-11-25
225,Dallas Mavericks,0,Cleveland Cavaliers,1,1,1,0.899399719995,2016-11-25
226,Oklahoma City Thunder,0,Denver Nuggets,1,1,0,0.616881846545,2016-11-25
227,Los Angeles Clippers,0,Detroit Pistons,1,1,0,0.8995322527,2016-11-25
228,Brooklyn Nets,0,Indiana Pacers,1,1,1,0.637906012669,2016-11-25
229,Golden State Warriors,0,Los Angeles Lakers,1,1,1,0.528236846746,2016-11-25
230,Miami Heat,0,Memphis Grizzlies,1,1,0,0.592265070324,2016-11-25
231,Toronto Raptors,0,Milwaukee Bucks,1,1,0,0.64900451745,2016-11-25
232,Charlotte Hornets,0,New York Knicks,1,1,0,0.723727461263,2016-11-25
233,Washington Wizards,0,Orlando Magic,1,1,0,0.721529154879,2016-11-25
234,Chicago Bulls,0,Philadelphia 76ers,1,1,0,0.799196432158,2016-11-25
235,Minnesota Timberwolves,0,Phoenix Suns,1,1,1,0.588350060436,2016-11-25
236,New Orleans Pelicans,0,Portland Trail Blazers,1,1,1,0.840976526053,2016-11-25
237,Houston Rockets,0,Sacramento Kings,1,1,0,0.607166724305,2016-11-25
238,Atlanta Hawks,0,Utah Jazz,1,1,1,0.520348828362,2016-11-25
239,New York Knicks,0,Charlotte Hornets,1,1,1,0.894576700942,2016-11-26
240,Minnesota Timberwolves,0,Golden State Warriors,1,1,1,0.849465664785,2016-11-26
241,Memphis Grizzlies,0,Miami Heat,1,1,1,0.824722558655,2016-11-26
242,Detroit Pistons,0,Oklahoma City Thunder,1,1,1,0.781606767363,2016-11-26
243,San Antonio Spurs,0,Washington Wizards,1,1,0,0.711314051783,2016-11-26
244,Sacramento Kings,0,Brooklyn Nets,1,1,1,0.619507437176,2016-11-27
245,New Orleans Pelicans,0,Dallas Mavericks,1,1,1,0.743933198071,2016-11-27
246,Los Angeles Clippers,0,Indiana Pacers,1,1,0,0.955289222802,2016-11-27
247,Atlanta Hawks,0,Los Angeles Lakers,1,1,0,0.624399137749,2016-11-27
