index,Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
263,2016,Arizona Coyotes,2,New York Islanders,5
264,2016,Detroit Red Wings,4,Ottawa Senators,3
265,2016,Winnipeg Jets,2,St. Louis Blues,3
266,2016,San Jose Sharks,5,Boston Bruins,4
267,2016,Dallas Stars,3,Buffalo Sabres,1
268,2016,St. Louis Blues,1,Columbus Blue Jackets,3
269,2016,New Jersey Devils,2,Calgary Flames,3
270,2016,Anaheim Ducks,2,Nashville Predators,3
271,2016,Los Angeles Kings,3,Philadelphia Flyers,2
272,2016,Minnesota Wild,3,Pittsburgh Penguins,4
273,2016,Colorado Avalanche,1,Toronto Maple Leafs,5
274,2016,Washington Capitals,2,Detroit Red Wings,1
275,2016,Chicago Blackhawks,4,Edmonton Oilers,3
276,2016,Vancouver Canucks,1,Winnipeg Jets,4
277,2016,Minnesota Wild,2,Boston Bruins,4
278,2016,Anaheim Ducks,3,Florida Panthers,1
279,2016,Arizona Coyotes,3,Montreal Canadiens,2
280,2016,Columbus Blue Jackets,0,Ottawa Senators,3
281,2016,San Jose Sharks,1,Philadelphia Flyers,0
282,2016,Colorado Avalanche,3,Pittsburgh Penguins,4
283,2016,Buffalo Sabres,2,St. Louis Blues,3
284,2016,New York Rangers,1,Tampa Bay Lightning,2
285,2016,Dallas Stars,3,Washington Capitals,2
286,2016,Toronto Maple Leafs,2,Carolina Hurricanes,1
287,2016,Nashville Predators,0,Columbus Blue Jackets,4
288,2016,Chicago Blackhawks,1,Calgary Flames,2
289,2016,Los Angeles Kings,2,Detroit Red Wings,3
290,2016,New Jersey Devils,1,Edmonton Oilers,5
291,2016,Montreal Canadiens,5,New York Islanders,3
292,2016,Toronto Maple Leafs,0,Boston Bruins,2
293,2016,Buffalo Sabres,0,Dallas Stars,3
294,2016,New York Rangers,5,Florida Panthers,4
295,2016,Nashville Predators,0,Minnesota Wild,4
296,2016,Philadelphia Flyers,0,Ottawa Senators,4
297,2016,San Jose Sharks,3,Pittsburgh Penguins,1
298,2016,Detroit Red Wings,4,St. Louis Blues,3
299,2016,Anaheim Ducks,0,Tampa Bay Lightning,5
300,2016,Chicago Blackhawks,3,Vancouver Canucks,6
301,2016,Arizona Coyotes,2,Winnipeg Jets,3
302,2016,Colorado Avalanche,3,Washington Capitals,7
303,2016,Los Angeles Kings,3,Carolina Hurricanes,4
304,2016,San Jose Sharks,5,Columbus Blue Jackets,3
305,2016,New York Islanders,2,Montreal Canadiens,4
306,2016,New Jersey Devils,3,Vancouver Canucks,2
307,2016,St. Louis Blues,2,Buffalo Sabres,1
308,2016,Los Angeles Kings,3,Florida Panthers,1
309,2016,Nashville Predators,0,New York Rangers,3
310,2016,Carolina Hurricanes,2,Philadelphia Flyers,3
311,2016,Boston Bruins,4,Toronto Maple Leafs,3
312,2016,Colorado Avalanche,4,Winnipeg Jets,1
313,2016,Edmonton Oilers,0,Washington Capitals,1
314,2016,Calgary Flames,3,Anaheim Ducks,5
315,2016,Ottawa Senators,7,Dallas Stars,4
316,2016,Anaheim Ducks,2,Arizona Coyotes,4
317,2016,Nashville Predators,3,Buffalo Sabres,2
318,2016,Edmonton Oilers,1,Carolina Hurricanes,4
319,2016,Ottawa Senators,5,Colorado Avalanche,3
320,2016,Boston Bruins,3,Detroit Red Wings,2
321,2016,Vancouver Canucks,3,Minnesota Wild,2
322,2016,Columbus Blue Jackets,2,New Jersey Devils,1
323,2016,Philadelphia Flyers,1,New York Islanders,3
324,2016,Montreal Canadiens,5,New York Rangers,1
325,2016,St. Louis Blues,3,Pittsburgh Penguins,4
326,2016,Chicago Blackhawks,5,San Jose Sharks,2
327,2016,Los Angeles Kings,1,Tampa Bay Lightning,2
328,2016,Winnipeg Jets,3,Washington Capitals,5
329,2016,Chicago Blackhawks,3,Anaheim Ducks,2
330,2016,Calgary Flames,1,Arizona Coyotes,2
331,2016,New York Rangers,3,Boston Bruins,4
332,2016,Carolina Hurricanes,1,Buffalo Sabres,4
333,2016,Pittsburgh Penguins,1,Columbus Blue Jackets,2
334,2016,Vancouver Canucks,2,Dallas Stars,3
335,2016,Edmonton Oilers,3,Detroit Red Wings,4
336,2016,New York Islanders,2,Florida Panthers,3
337,2016,Winnipeg Jets,3,Minnesota Wild,1
338,2016,Montreal Canadiens,3,New Jersey Devils,2
339,2016,Nashville Predators,2,Philadelphia Flyers,3
340,2016,Tampa Bay Lightning,2,Washington Capitals,4
341,2016,Ottawa Senators,3,Arizona Coyotes,4
342,2016,Winnipeg Jets,3,Colorado Avalanche,5
343,2016,Chicago Blackhawks,2,Los Angeles Kings,3
344,2016,Dallas Stars,4,Minnesota Wild,3
345,2016,New Jersey Devils,3,Montreal Canadiens,2
346,2016,Buffalo Sabres,4,Nashville Predators,1
347,2016,Philadelphia Flyers,3,New York Rangers,0
348,2016,Edmonton Oilers,3,Pittsburgh Penguins,2
349,2016,Calgary Flames,2,San Jose Sharks,5
350,2016,Columbus Blue Jackets,1,St. Louis Blues,3
351,2016,New York Islanders,3,Tampa Bay Lightning,2
352,2016,Washington Capitals,4,Toronto Maple Leafs,2
353,2016,Florida Panthers,2,Detroit Red Wings,1
354,2016,Vancouver Canucks,0,Anaheim Ducks,4
355,2016,Colorado Avalanche,3,New York Islanders,5
356,2016,Carolina Hurricanes,3,New York Rangers,4
357,2016,Edmonton Oilers,0,Toronto Maple Leafs,3
358,2016,Dallas Stars,3,Calgary Flames,4
359,2016,Minnesota Wild,2,Chicago Blackhawks,1
360,2016,Buffalo Sabres,4,Detroit Red Wings,5
361,2016,Vancouver Canucks,1,Los Angeles Kings,2
362,2016,Columbus Blue Jackets,1,Montreal Canadiens,2
363,2016,Colorado Avalanche,2,New Jersey Devils,1
364,2016,Arizona Coyotes,2,Nashville Predators,5
365,2016,Philadelphia Flyers,4,Ottawa Senators,2
366,2016,Pittsburgh Penguins,5,San Jose Sharks,1
367,2016,Florida Panthers,3,St. Louis Blues,1
368,2016,Tampa Bay Lightning,2,Anaheim Ducks,1
369,2016,Boston Bruins,2,Edmonton Oilers,3
370,2016,New York Rangers,1,New York Islanders,2
371,2016,Toronto Maple Leafs,1,Winnipeg Jets,6
372,2016,New Jersey Devils,5,Carolina Hurricanes,1
373,2016,Arizona Coyotes,1,Detroit Red Wings,5
374,2016,Toronto Maple Leafs,0,Minnesota Wild,1
375,2016,Washington Capitals,3,Montreal Canadiens,2
376,2016,Florida Panthers,2,Nashville Predators,1
377,2016,Colorado Avalanche,2,New York Rangers,1
378,2016,Chicago Blackhawks,3,Ottawa Senators,4
379,2016,Dallas Stars,4,Vancouver Canucks,2
380,2016,San Jose Sharks,0,Anaheim Ducks,1
381,2016,Arizona Coyotes,2,Buffalo Sabres,5
382,2016,Florida Panthers,2,Columbus Blue Jackets,1
383,2016,Boston Bruins,4,Calgary Flames,5
384,2016,Dallas Stars,1,Edmonton Oilers,2
385,2016,Philadelphia Flyers,4,New Jersey Devils,3
386,2016,St. Louis Blues,1,New York Islanders,2
387,2016,Montreal Canadiens,2,Carolina Hurricanes,3
388,2016,Nashville Predators,4,Detroit Red Wings,5
389,2016,Pittsburgh Penguins,3,Los Angeles Kings,5
390,2016,Colorado Avalanche,0,Minnesota Wild,3
391,2016,New York Islanders,2,Ottawa Senators,3
392,2016,Columbus Blue Jackets,4,Philadelphia Flyers,1
393,2016,Tampa Bay Lightning,4,San Jose Sharks,3
394,2016,Toronto Maple Leafs,4,St. Louis Blues,1
395,2016,Boston Bruins,4,Vancouver Canucks,0
396,2016,Washington Capitals,1,Winnipeg Jets,2
397,2016,Pittsburgh Penguins,1,Anaheim Ducks,2
398,2016,Arizona Coyotes,4,Carolina Hurricanes,5
399,2016,Winnipeg Jets,1,Chicago Blackhawks,3
400,2016,Buffalo Sabres,2,Edmonton Oilers,4
401,2016,Tampa Bay Lightning,1,Los Angeles Kings,3
402,2016,Florida Panthers,2,New Jersey Devils,4
403,2016,Ottawa Senators,1,New York Rangers,4
404,2016,Nashville Predators,3,Boston Bruins,2
405,2016,Minnesota Wild,1,Colorado Avalanche,2
406,2016,Buffalo Sabres,2,Vancouver Canucks,5
407,2016,Los Angeles Kings,3,Columbus Blue Jackets,2
408,2016,San Jose Sharks,2,Calgary Flames,4
409,2016,Nashville Predators,1,Chicago Blackhawks,4
410,2016,Carolina Hurricanes,5,Dallas Stars,6
411,2016,Ottawa Senators,4,Florida Panthers,2
412,2016,New York Islanders,4,Philadelphia Flyers,3
413,2016,Arizona Coyotes,1,St. Louis Blues,4
414,2016,New Jersey Devils,2,Toronto Maple Leafs,3
415,2016,Detroit Red Wings,2,Washington Capitals,3
416,2016,Pittsburgh Penguins,4,Colorado Avalanche,2
