ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
153,2016-11-05,00:00,Carolina Hurricanes @ Nashville Predators,Carolina Hurricanes,Nashville Predators,2.84,3.76,Carolina Hurricanes,Nashville Predators,0.606,Y,Carolina Hurricanes,2.84
154,2016-11-05,02:00,Calgary Flames @ Los Angeles Kings,Calgary Flames,Los Angeles Kings,4.26,1.75,Los Angeles Kings,Los Angeles Kings,0.695,N,Los Angeles Kings,1.75
155,2016-11-05,02:30,Pittsburgh Penguins @ San Jose Sharks,Pittsburgh Penguins,San Jose Sharks,3.02,3.89,Pittsburgh Penguins,San Jose Sharks,0.581,Y,Pittsburgh Penguins,3.02
156,2016-11-05,19:00,Minnesota Wild @ Colorado Avalanche,Minnesota Wild,Colorado Avalanche,3.91,4.14,Minnesota Wild,Minnesota Wild,0.672,N,Colorado Avalanche,4.14
157,2016-11-05,23:00,New York Rangers @ Boston Bruins,New York Rangers,Boston Bruins,3.84,2.59,Boston Bruins,New York Rangers,0.562,Y,New York Rangers,3.84
158,2016-11-05,23:00,Philadelphia Flyers @ Montreal Canadiens,Philadelphia Flyers,Montreal Canadiens,1.95,2.4,Philadelphia Flyers,Montreal Canadiens,0.793,Y,Montreal Canadiens,2.4
159,2016-11-05,23:00,Edmonton Oilers @ New York Islanders,Edmonton Oilers,New York Islanders,3.31,4.07,Edmonton Oilers,Edmonton Oilers,0.515,N,Edmonton Oilers,3.31
160,2016-11-05,23:00,Buffalo Sabres @ Ottawa Senators,Buffalo Sabres,Ottawa Senators,4.22,1.83,Ottawa Senators,Ottawa Senators,0.656,N,Buffalo Sabres,4.22
161,2016-11-05,23:00,Columbus Blue Jackets @ St. Louis Blues,Columbus Blue Jackets,St. Louis Blues,1.78,3.56,Columbus Blue Jackets,Columbus Blue Jackets,0.616,N,St. Louis Blues,3.56
162,2016-11-05,23:00,New Jersey Devils @ Tampa Bay Lightning,New Jersey Devils,Tampa Bay Lightning,3.87,4.14,New Jersey Devils,Tampa Bay Lightning,0.6,Y,Tampa Bay Lightning,4.14
163,2016-11-05,23:00,Vancouver Canucks @ Toronto Maple Leafs,Vancouver Canucks,Toronto Maple Leafs,4.01,2.03,Toronto Maple Leafs,Toronto Maple Leafs,0.672,N,Toronto Maple Leafs,2.03
164,2016-11-05,23:00,Florida Panthers @ Washington Capitals,Florida Panthers,Washington Capitals,1.76,3.09,Florida Panthers,Washington Capitals,0.647,Y,Washington Capitals,3.09
165,2016-11-06,00:00,Dallas Stars @ Chicago Blackhawks,Dallas Stars,Chicago Blackhawks,3.82,2.53,Chicago Blackhawks,Chicago Blackhawks,0.721,N,Chicago Blackhawks,2.53
166,2016-11-06,00:00,Winnipeg Jets @ New York Rangers,Winnipeg Jets,New York Rangers,2.07,2.45,Winnipeg Jets,New York Rangers,0.802,Y,New York Rangers,2.45
167,2016-11-06,02:30,Calgary Flames @ Anaheim Ducks,Calgary Flames,Anaheim Ducks,3.67,4.01,Calgary Flames,Anaheim Ducks,0.751,Y,Anaheim Ducks,4.01
168,2016-11-06,22:00,Edmonton Oilers @ Detroit Red Wings,Edmonton Oilers,Detroit Red Wings,4.71,1.51,Detroit Red Wings,Detroit Red Wings,0.553,N,Edmonton Oilers,4.71
169,2016-11-06,22:00,Colorado Avalanche @ St. Louis Blues,Colorado Avalanche,St. Louis Blues,2.1,5.42,Colorado Avalanche,St. Louis Blues,0.672,Y,St. Louis Blues,5.42
170,2016-11-06,23:00,New Jersey Devils @ Carolina Hurricanes,New Jersey Devils,Carolina Hurricanes,3.16,3.72,New Jersey Devils,New Jersey Devils,0.617,N,New Jersey Devils,3.16
171,2016-11-07,00:00,Buffalo Sabres @ Boston Bruins,Buffalo Sabres,Boston Bruins,3.87,2.39,Boston Bruins,Boston Bruins,0.809,N,Boston Bruins,2.39
172,2016-11-07,00:00,Vancouver Canucks @ New York Islanders,Vancouver Canucks,New York Islanders,1.84,2.58,Vancouver Canucks,New York Islanders,0.64,Y,New York Islanders,2.58
173,2016-11-07,00:30,Tampa Bay Lightning @ Florida Panthers,Tampa Bay Lightning,Florida Panthers,3.23,3.98,Tampa Bay Lightning,Tampa Bay Lightning,0.56,N,Florida Panthers,3.98
