Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2007,Montreal Canadiens,2,Buffalo Sabres,1
2007,Los Angeles Kings,3,Dallas Stars,5
2007,St. Louis Blues,3,Detroit Red Wings,2
2007,Chicago Blackhawks,1,Edmonton Oilers,5
2007,Ottawa Senators,6,Florida Panthers,4
2007,Phoenix Coyotes,0,Minnesota Wild,4
2007,Pittsburgh Penguins,1,New York Islanders,3
2007,Columbus Blue Jackets,2,Philadelphia Flyers,3
2007,Atlanta Thrashers,2,Tampa Bay Lightning,3
2007,Toronto Maple Leafs,7,Washington Capitals,1
2007,Florida Panthers,0,Atlanta Thrashers,1
2007,Minnesota Wild,3,Columbus Blue Jackets,5
2007,Vancouver Canucks,1,Colorado Avalanche,4
2007,Calgary Flames,1,Los Angeles Kings,3
2007,Philadelphia Flyers,4,Montreal Canadiens,2
2007,Detroit Red Wings,2,Nashville Predators,6
2007,Washington Capitals,1,New York Islanders,4
2007,New York Rangers,2,Pittsburgh Penguins,1
2007,New Jersey Devils,0,San Jose Sharks,2
2007,Phoenix Coyotes,2,St. Louis Blues,1
2007,Boston Bruins,3,Toronto Maple Leafs,1
2007,Calgary Flames,3,Anaheim Ducks,5
2007,Buffalo Sabres,3,New York Rangers,2
2007,Ottawa Senators,1,Tampa Bay Lightning,3
2007,Dallas Stars,1,Detroit Red Wings,2
2007,New Jersey Devils,2,Los Angeles Kings,3
2007,Ottawa Senators,4,Carolina Hurricanes,1
2007,Colorado Avalanche,2,Calgary Flames,5
2007,Anaheim Ducks,3,Edmonton Oilers,2
2007,Florida Panthers,0,Montreal Canadiens,1
2007,Atlanta Thrashers,5,New York Rangers,4
2007,New York Islanders,2,Pittsburgh Penguins,3
2007,San Jose Sharks,2,St. Louis Blues,0
2007,Washington Capitals,5,Tampa Bay Lightning,2
2007,Boston Bruins,4,Toronto Maple Leafs,1
2007,Columbus Blue Jackets,0,Vancouver Canucks,1
2007,Dallas Stars,1,Chicago Blackhawks,2
2007,San Jose Sharks,2,Minnesota Wild,1
2007,Nashville Predators,3,Philadelphia Flyers,2
2007,Toronto Maple Leafs,0,Atlanta Thrashers,5
2007,Tampa Bay Lightning,3,Boston Bruins,4
2007,Montreal Canadiens,2,Carolina Hurricanes,4
2007,Colorado Avalanche,7,Edmonton Oilers,3
2007,Philadelphia Flyers,3,New York Islanders,2
2007,Florida Panthers,0,Ottawa Senators,6
2007,Los Angeles Kings,4,Phoenix Coyotes,7
2007,Nashville Predators,5,St. Louis Blues,4
2007,Anaheim Ducks,2,Vancouver Canucks,1
2007,Dallas Stars,3,Washington Capitals,4
2007,New York Rangers,3,Buffalo Sabres,4
2007,Columbus Blue Jackets,1,Calgary Flames,2
2007,St. Louis Blues,2,Chicago Blackhawks,5
2007,Detroit Red Wings,3,Minnesota Wild,0
2007,Pittsburgh Penguins,2,New Jersey Devils,5
2007,Boston Bruins,2,Carolina Hurricanes,5
2007,Minnesota Wild,3,Dallas Stars,4
2007,San Jose Sharks,3,Detroit Red Wings,2
2007,Columbus Blue Jackets,4,Edmonton Oilers,0
2007,Atlanta Thrashers,3,Florida Panthers,1
2007,Anaheim Ducks,4,Los Angeles Kings,3
2007,Toronto Maple Leafs,3,Montreal Canadiens,4
2007,Chicago Blackhawks,4,Nashville Predators,3
2007,Tampa Bay Lightning,2,Ottawa Senators,5
2007,New Jersey Devils,4,Philadelphia Flyers,3
2007,New York Islanders,5,Pittsburgh Penguins,3
2007,Colorado Avalanche,1,Vancouver Canucks,2
2007,Buffalo Sabres,4,Washington Capitals,7
2007,Los Angeles Kings,3,Anaheim Ducks,2
2007,New York Islanders,7,New York Rangers,4
2007,San Jose Sharks,0,Dallas Stars,1
2007,Boston Bruins,6,Montreal Canadiens,5
2007,Nashville Predators,2,Phoenix Coyotes,3
2007,Edmonton Oilers,4,Vancouver Canucks,0
2007,Carolina Hurricanes,0,Calgary Flames,3
2007,Columbus Blue Jackets,3,Colorado Avalanche,0
2007,Chicago Blackhawks,2,Minnesota Wild,3
2007,Ottawa Senators,4,New York Islanders,2
2007,Florida Panthers,3,Pittsburgh Penguins,2
2007,Detroit Red Wings,5,St. Louis Blues,1
2007,Buffalo Sabres,4,Tampa Bay Lightning,1
2007,Atlanta Thrashers,5,Toronto Maple Leafs,2
2007,Nashville Predators,0,Anaheim Ducks,4
2007,Phoenix Coyotes,0,Dallas Stars,3
2007,Carolina Hurricanes,1,Edmonton Oilers,3
2007,Montreal Canadiens,1,New Jersey Devils,2
2007,Ottawa Senators,2,Washington Capitals,6
2007,Toronto Maple Leafs,1,Boston Bruins,3
2007,Phoenix Coyotes,2,Chicago Blackhawks,1
2007,St. Louis Blues,3,Detroit Red Wings,4
2007,Buffalo Sabres,1,Florida Panthers,3
2007,Nashville Predators,4,Los Angeles Kings,1
2007,Calgary Flames,2,Minnesota Wild,3
2007,Montreal Canadiens,4,New York Islanders,2
2007,Pittsburgh Penguins,2,New York Rangers,3
2007,Colorado Avalanche,5,San Jose Sharks,2
2007,Atlanta Thrashers,0,Tampa Bay Lightning,8
2007,Edmonton Oilers,2,Dallas Stars,0
2007,Philadelphia Flyers,0,New Jersey Devils,2
2007,Carolina Hurricanes,3,Vancouver Canucks,4
2007,Anaheim Ducks,6,Washington Capitals,1
2007,Pittsburgh Penguins,4,Atlanta Thrashers,3
2007,New Jersey Devils,5,Boston Bruins,1
2007,Vancouver Canucks,3,Calgary Flames,5
2007,Toronto Maple Leafs,1,Detroit Red Wings,5
2007,Colorado Avalanche,4,Los Angeles Kings,5
2007,Chicago Blackhawks,4,Minnesota Wild,5
2007,Buffalo Sabres,3,Montreal Canadiens,2
2007,Florida Panthers,4,New York Islanders,5
2007,New York Rangers,3,Ottawa Senators,1
2007,Washington Capitals,5,Philadelphia Flyers,3
2007,Dallas Stars,4,Phoenix Coyotes,3
2007,Nashville Predators,1,San Jose Sharks,3
2007,Columbus Blue Jackets,5,St. Louis Blues,1
2007,Anaheim Ducks,4,Tampa Bay Lightning,3
2007,Ottawa Senators,2,Columbus Blue Jackets,6
2007,Edmonton Oilers,1,Chicago Blackhawks,4
2007,Florida Panthers,1,New York Rangers,2
2007,Carolina Hurricanes,2,Colorado Avalanche,5
2007,Phoenix Coyotes,0,San Jose Sharks,4
2007,Pittsburgh Penguins,5,Washington Capitals,4
2007,Minnesota Wild,2,Calgary Flames,5
2007,Columbus Blue Jackets,3,Dallas Stars,1
2007,Ottawa Senators,3,Detroit Red Wings,2
2007,Anaheim Ducks,5,Florida Panthers,4
2007,San Jose Sharks,3,Los Angeles Kings,1
2007,Boston Bruins,3,Montreal Canadiens,4
2007,Buffalo Sabres,3,New Jersey Devils,2
2007,Edmonton Oilers,2,Nashville Predators,3
2007,New York Rangers,3,Philadelphia Flyers,1
2007,Chicago Blackhawks,3,St. Louis Blues,2
2007,Tampa Bay Lightning,4,Toronto Maple Leafs,5
2007,Phoenix Coyotes,2,Vancouver Canucks,5
2007,Anaheim Ducks,2,Atlanta Thrashers,1
2007,St. Louis Blues,1,Colorado Avalanche,4
2007,Philadelphia Flyers,4,Pittsburgh Penguins,8
2007,New Jersey Devils,3,Boston Bruins,5
2007,Florida Panthers,1,Buffalo Sabres,2
2007,Detroit Red Wings,3,Chicago Blackhawks,2
2007,New York Rangers,5,Dallas Stars,2
2007,Minnesota Wild,1,Edmonton Oilers,3
2007,Tampa Bay Lightning,2,Montreal Canadiens,4
2007,Ottawa Senators,0,Nashville Predators,6
2007,Columbus Blue Jackets,4,Phoenix Coyotes,5
2007,Los Angeles Kings,4,San Jose Sharks,2
2007,Calgary Flames,1,Vancouver Canucks,3
2007,Washington Capitals,3,Atlanta Thrashers,2
2007,Toronto Maple Leafs,4,Carolina Hurricanes,3
2007,Edmonton Oilers,1,Colorado Avalanche,4
2007,New York Islanders,4,Pittsburgh Penguins,7
2007,Florida Panthers,6,Boston Bruins,3
2007,Ottawa Senators,3,Buffalo Sabres,1
2007,Chicago Blackhawks,6,Columbus Blue Jackets,4
2007,Dallas Stars,4,Los Angeles Kings,3
2007,Pittsburgh Penguins,3,Montreal Canadiens,6
2007,Detroit Red Wings,2,New Jersey Devils,1
2007,St. Louis Blues,2,Nashville Predators,3
2007,Atlanta Thrashers,0,New York Islanders,6
2007,Calgary Flames,6,Phoenix Coyotes,3
2007,Anaheim Ducks,3,San Jose Sharks,4
2007,Carolina Hurricanes,3,Tampa Bay Lightning,2
2007,New York Rangers,2,Toronto Maple Leafs,9
2007,Minnesota Wild,1,Vancouver Canucks,2
2007,Philadelphia Flyers,1,Washington Capitals,4
2007,Colorado Avalanche,1,Chicago Blackhawks,2
2007,New Jersey Devils,6,New York Rangers,1
2007,Nashville Predators,2,St. Louis Blues,1
2007,Calgary Flames,1,Anaheim Ducks,4
2007,Detroit Red Wings,3,Columbus Blue Jackets,4
2007,Montreal Canadiens,5,Buffalo Sabres,2
2007,Colorado Avalanche,7,Edmonton Oilers,6
2007,Calgary Flames,5,Los Angeles Kings,3
2007,Vancouver Canucks,2,Minnesota Wild,5
2007,Atlanta Thrashers,4,New Jersey Devils,3
2007,New York Islanders,4,New York Rangers,3
