Season_Yr,Visitor_Team,V_PTS,Home_Team,H_PTS
1981,Los Angeles Lakers,128,Golden State Warriors,119
1981,Indiana Pacers,108,Washington Bullets,123
1981,New York Knicks,106,Boston Celtics,120
1981,Washington Bullets,105,Cleveland Cavaliers,126
1981,Denver Nuggets,119,Dallas Mavericks,117
1981,Kansas City Kings,94,Detroit Pistons,104
1981,Atlanta Hawks,108,Milwaukee Bucks,113
1981,Utah Jazz,95,New Jersey Nets,122
1981,Portland Trail Blazers,103,Philadelphia 76ers,116
1981,Chicago Bulls,101,Phoenix Suns,102
1981,Houston Rockets,124,San Antonio Spurs,115
1981,San Diego Clippers,93,Seattle SuperSonics,92
1981,Detroit Pistons,98,Atlanta Hawks,95
1981,Los Angeles Lakers,124,Denver Nuggets,123
1981,Phoenix Suns,113,Golden State Warriors,108
1981,Dallas Mavericks,90,Houston Rockets,115
1981,Cleveland Cavaliers,101,Indiana Pacers,117
1981,San Antonio Spurs,106,Kansas City Kings,104
1981,Portland Trail Blazers,110,New York Knicks,111
1981,Utah Jazz,93,Philadelphia 76ers,113
1981,Milwaukee Bucks,89,Washington Bullets,98
1981,Chicago Bulls,122,Los Angeles Lakers,108
1981,Boston Celtics,105,Milwaukee Bucks,107
1981,Houston Rockets,114,Phoenix Suns,117
1981,Golden State Warriors,100,San Diego Clippers,120
1981,New Jersey Nets,89,Seattle SuperSonics,113
1981,Philadelphia 76ers,108,Atlanta Hawks,112
1981,Cleveland Cavaliers,109,Dallas Mavericks,102
1981,Chicago Bulls,129,Denver Nuggets,124
1981,Boston Celtics,94,Detroit Pistons,85
1981,Utah Jazz,108,Milwaukee Bucks,119
1981,Indiana Pacers,113,New York Knicks,96
1981,New Jersey Nets,118,Portland Trail Blazers,105
1981,Phoenix Suns,122,San Antonio Spurs,107
1981,Kansas City Kings,103,Washington Bullets,107
1981,Atlanta Hawks,101,Boston Celtics,106
1981,New Jersey Nets,108,Golden State Warriors,131
1981,Cleveland Cavaliers,109,Houston Rockets,118
1981,Washington Bullets,115,Indiana Pacers,128
1981,Phoenix Suns,100,Kansas City Kings,103
1981,San Diego Clippers,120,Los Angeles Lakers,114
1981,New York Knicks,98,Philadelphia 76ers,104
1981,Chicago Bulls,105,Seattle SuperSonics,113
1981,Cleveland Cavaliers,100,San Antonio Spurs,130
1981,Portland Trail Blazers,103,San Diego Clippers,100
1981,Denver Nuggets,118,Utah Jazz,122
1981,Dallas Mavericks,87,Boston Celtics,97
1981,Golden State Warriors,119,Denver Nuggets,114
1981,Houston Rockets,100,Kansas City Kings,108
1981,Indiana Pacers,100,Milwaukee Bucks,102
1981,Atlanta Hawks,100,Philadelphia 76ers,104
1981,New Jersey Nets,90,Phoenix Suns,88
1981,Chicago Bulls,115,Portland Trail Blazers,116
1981,Detroit Pistons,92,Washington Bullets,103
1981,Dallas Mavericks,104,Atlanta Hawks,110
1981,Detroit Pistons,100,Cleveland Cavaliers,101
1981,Los Angeles Lakers,103,Golden State Warriors,119
1981,Denver Nuggets,108,Houston Rockets,111
1981,Kansas City Kings,88,Indiana Pacers,107
1981,Milwaukee Bucks,94,New York Knicks,104
1981,Seattle SuperSonics,108,Utah Jazz,98
1981,Washington Bullets,113,Boston Celtics,103
1981,Utah Jazz,100,Los Angeles Lakers,113
1981,Golden State Warriors,88,Phoenix Suns,106
1981,San Antonio Spurs,115,Portland Trail Blazers,116
1981,New Jersey Nets,95,San Diego Clippers,98
1981,San Antonio Spurs,99,Seattle SuperSonics,104
1981,San Diego Clippers,87,Atlanta Hawks,114
1981,Milwaukee Bucks,89,Boston Celtics,112
1981,Phoenix Suns,123,Chicago Bulls,108
1981,Philadelphia 76ers,96,Cleveland Cavaliers,83
1981,Los Angeles Lakers,103,Dallas Mavericks,92
1981,Washington Bullets,104,New York Knicks,107
1981,Seattle SuperSonics,98,Portland Trail Blazers,111
1981,San Antonio Spurs,115,Utah Jazz,90
1981,Dallas Mavericks,107,Denver Nuggets,116
1981,Atlanta Hawks,100,Detroit Pistons,92
1981,Seattle SuperSonics,108,Golden State Warriors,103
1981,Los Angeles Lakers,109,Houston Rockets,108
1981,Phoenix Suns,90,Indiana Pacers,102
1981,San Diego Clippers,100,Kansas City Kings,112
1981,New York Knicks,106,New Jersey Nets,104
1981,Chicago Bulls,100,Philadelphia 76ers,113
1981,Boston Celtics,101,Washington Bullets,99
