,Tm,Season_Yr,W,D,L,GF,GA,Pts,PPG,CS,FTS
219,Lazio Roma,2016,15,9,14,52,52,54,1.42,0.32,0.32
220,Chievo,2016,13,11,14,43,45,50,1.32,0.32,0.34
221,Empoli,2016,12,10,16,40,49,46,1.21,0.32,0.26
222,Genoa,2016,13,7,18,45,48,46,1.21,0.32,0.37
223,Torino,2016,12,9,17,52,55,45,1.18,0.16,0.24
224,Atalanta,2016,11,12,15,41,47,45,1.18,0.29,0.34
225,Bologna,2016,11,9,18,33,45,42,1.11,0.34,0.47
226,Sampdoria,2016,10,10,18,48,61,40,1.05,0.18,0.29
227,Palermo,2016,10,9,19,38,65,39,1.03,0.26,0.39
228,Udinese,2016,10,9,19,35,60,39,1.03,0.21,0.32
229,Carpi,2016,9,11,18,37,57,38,1.0,0.21,0.37
230,Frosinone,2016,8,7,23,35,76,31,0.82,0.18,0.45
231,Hellas Verona,2016,5,13,20,34,63,28,0.74,0.08,0.39
232,Manchester Utd,2013,28,5,5,86,43,89,2.34,0.34,0.08
233,Manchester City,2013,23,9,6,66,34,78,2.05,0.47,0.16
234,Chelsea,2013,22,9,7,75,39,75,1.97,0.37,0.13
235,Arsenal,2013,21,10,7,72,37,73,1.92,0.37,0.18
236,Tottenham,2013,21,9,8,66,46,72,1.89,0.24,0.11
237,Everton,2013,16,15,7,55,40,63,1.66,0.29,0.18
238,Liverpool,2013,16,13,9,71,43,61,1.61,0.42,0.21
239,West Bromwich,2013,14,7,17,53,57,49,1.29,0.21,0.26
240,Swansea City,2013,11,13,14,47,51,46,1.21,0.26,0.42
241,West Ham Utd,2013,12,10,16,45,53,46,1.21,0.29,0.29
242,Norwich City,2013,10,14,14,41,58,44,1.16,0.26,0.34
243,Fulham,2013,11,10,17,50,60,43,1.13,0.21,0.32
244,Stoke City,2013,9,15,14,34,45,42,1.11,0.32,0.39
245,Southampton,2013,9,14,15,49,60,41,1.08,0.18,0.24
246,Aston Villa,2013,10,11,17,47,69,41,1.08,0.13,0.32
247,Newcastle Utd,2013,11,8,19,45,68,41,1.08,0.16,0.29
248,Sunderland,2013,9,12,17,41,54,39,1.03,0.29,0.26
249,Wigan Athletic,2013,9,9,20,47,73,36,0.95,0.13,0.29
250,Reading,2013,6,10,22,43,73,28,0.74,0.13,0.37
251,QP Rangers,2013,4,13,21,30,60,25,0.66,0.18,0.42
252,Manchester City,2014,27,5,6,102,37,86,2.26,0.42,0.11
253,Liverpool,2014,26,6,6,101,50,84,2.21,0.26,0.08
254,Chelsea,2014,25,7,6,71,27,82,2.16,0.47,0.21
255,Arsenal,2014,24,7,7,68,41,79,2.08,0.45,0.16
256,Everton,2014,21,9,8,61,39,72,1.89,0.39,0.24
257,Tottenham,2014,21,6,11,55,51,69,1.82,0.37,0.29
258,Manchester Utd,2014,19,7,12,64,43,64,1.68,0.34,0.24
259,Southampton,2014,15,11,12,54,46,56,1.47,0.39,0.18
260,Stoke City,2014,13,11,14,45,52,50,1.32,0.24,0.37
261,Newcastle Utd,2014,15,4,19,43,59,49,1.29,0.26,0.42
262,Crystal Palace,2014,13,6,19,33,48,45,1.18,0.32,0.45
263,Swansea City,2014,11,9,18,54,54,42,1.11,0.21,0.29
264,West Ham Utd,2014,11,7,20,40,51,40,1.05,0.37,0.39
265,Sunderland,2014,10,8,20,41,60,38,1.0,0.29,0.34
266,Aston Villa,2014,10,8,20,39,61,38,1.0,0.24,0.42
267,Hull City,2014,10,7,21,38,53,37,0.97,0.26,0.42
268,West Bromwich,2014,7,15,16,43,59,36,0.95,0.18,0.29
269,Norwich City,2014,8,9,21,28,62,33,0.87,0.32,0.45
270,Fulham,2014,9,5,24,40,85,32,0.84,0.13,0.26
271,Cardiff City,2014,7,9,22,32,74,30,0.79,0.18,0.5
272,Chelsea,2015,26,9,3,73,32,87,2.29,0.45,0.08
273,Manchester City,2015,24,7,7,83,38,79,2.08,0.37,0.08
274,Arsenal,2015,22,9,7,71,36,75,1.97,0.34,0.13
275,Manchester Utd,2015,20,10,8,62,37,70,1.84,0.29,0.21
276,Tottenham,2015,19,7,12,58,53,64,1.68,0.24,0.26
277,Liverpool,2015,18,8,12,52,48,62,1.63,0.37,0.21
278,Southampton,2015,18,6,14,54,33,60,1.58,0.39,0.32
279,Swansea City,2015,16,8,14,46,49,56,1.47,0.34,0.21
280,Stoke City,2015,15,9,14,48,45,54,1.42,0.24,0.24
281,Crystal Palace,2015,13,9,16,47,51,48,1.26,0.18,0.34
282,Everton,2015,12,11,15,48,50,47,1.24,0.26,0.32
283,West Ham Utd,2015,12,11,15,44,47,47,1.24,0.24,0.29
284,West Bromwich,2015,11,11,16,38,51,44,1.16,0.42,0.34
285,Leicester City,2015,11,8,19,46,55,41,1.08,0.26,0.37
286,Newcastle Utd,2015,10,9,19,40,63,39,1.03,0.21,0.34
287,Sunderland,2015,7,17,14,31,53,38,1.0,0.34,0.45
288,Aston Villa,2015,10,8,20,31,57,38,1.0,0.26,0.47
289,Hull City,2015,8,11,19,33,51,35,0.92,0.26,0.45
290,Burnley,2015,7,12,19,28,53,33,0.87,0.26,0.47
291,QP Rangers,2015,8,6,24,42,73,30,0.79,0.16,0.32
292,Leicester City,2016,23,12,3,68,36,81,2.13,0.39,0.08
293,Arsenal,2016,20,11,7,65,36,71,1.87,0.47,0.21
294,Tottenham,2016,19,13,6,69,35,70,1.84,0.34,0.16
295,Manchester City,2016,19,9,10,71,41,66,1.74,0.42,0.21
296,Manchester Utd,2016,19,9,10,49,35,66,1.74,0.47,0.26
297,Southampton,2016,18,9,11,59,41,63,1.66,0.32,0.26
298,West Ham Utd,2016,16,14,8,65,51,62,1.63,0.29,0.13
299,Liverpool,2016,16,12,10,63,50,60,1.58,0.29,0.21
300,Stoke City,2016,14,9,15,41,55,51,1.34,0.26,0.34
301,Chelsea,2016,12,14,12,59,53,50,1.32,0.24,0.21
302,Everton,2016,11,14,13,59,55,47,1.24,0.26,0.29
303,Swansea City,2016,12,11,15,42,52,47,1.24,0.24,0.32
304,Watford,2016,12,9,17,40,50,45,1.18,0.29,0.37
305,West Bromwich,2016,10,13,15,34,48,43,1.13,0.29,0.37
306,Crystal Palace,2016,11,9,18,39,51,42,1.11,0.21,0.37
307,Bournemouth,2016,11,9,18,45,67,42,1.11,0.18,0.29
308,Sunderland,2016,9,12,17,48,62,39,1.03,0.18,0.32
309,Newcastle Utd,2016,9,10,19,44,65,37,0.97,0.21,0.37
310,Norwich City,2016,9,7,22,39,67,34,0.89,0.13,0.42
311,Aston Villa,2016,3,8,27,27,76,17,0.45,0.16,0.47
312,Paris SG,2013,25,8,5,69,23,83,2.18,0.61,0.11
313,Marseille,2013,21,8,9,42,36,71,1.87,0.47,0.26
314,Lyon,2013,19,10,9,61,38,67,1.76,0.34,0.18
315,Nice,2013,18,10,10,57,46,64,1.68,0.34,0.24
316,Saint-Etienne,2013,16,15,7,60,32,63,1.66,0.45,0.24
317,Lille,2013,16,14,8,59,40,62,1.63,0.26,0.21
318,Bordeaux,2013,13,16,9,40,34,55,1.45,0.45,0.39
319,Lorient,2013,14,11,13,57,58,53,1.39,0.21,0.21
320,Montpellier,2013,15,7,16,54,51,52,1.37,0.26,0.16
321,Toulouse,2013,13,12,13,49,47,51,1.34,0.32,0.37
322,Valenciennes,2013,12,12,14,49,53,48,1.26,0.24,0.34
323,Bastia,2013,13,8,17,50,66,47,1.24,0.24,0.42
324,Rennes,2013,13,7,18,48,59,46,1.21,0.18,0.34
325,Reims,2013,10,13,15,33,42,43,1.13,0.32,0.39
326,Sochaux,2013,10,11,17,41,57,41,1.08,0.21,0.32
327,Evian TG,2013,10,10,18,46,53,40,1.05,0.21,0.37
328,Ajaccio,2013,9,15,14,39,51,40,1.11,0.32,0.39
329,Nancy,2013,9,11,18,38,58,38,1.0,0.16,0.29
330,Troyes,2013,8,13,17,43,61,37,0.97,0.18,0.26
331,Brest,2013,8,5,25,32,62,29,0.76,0.16,0.42
332,Paris SG,2014,27,8,3,84,23,89,2.34,0.53,0.05
333,Monaco,2014,23,11,4,63,31,80,2.11,0.37,0.11
334,Lille,2014,20,11,7,46,26,71,1.87,0.55,0.26
335,Saint-Etienne,2014,20,9,9,56,34,69,1.82,0.42,0.21
336,Lyon,2014,17,10,11,56,44,61,1.61,0.34,0.24
337,Marseille,2014,16,12,10,53,40,60,1.58,0.24,0.24
338,Bordeaux,2014,13,14,11,49,43,53,1.39,0.24,0.26
339,Lorient,2014,13,10,15,48,53,49,1.29,0.26,0.29
340,Toulouse,2014,12,13,13,46,53,49,1.29,0.21,0.29
341,Bastia,2014,13,10,15,42,56,49,1.34,0.29,0.34
342,Reims,2014,12,12,14,44,52,48,1.26,0.26,0.32
343,Rennes,2014,11,13,14,47,45,46,1.21,0.32,0.32
344,Nantes,2014,12,10,16,38,43,46,1.21,0.39,0.39
345,Evian TG,2014,11,11,16,39,51,44,1.16,0.21,0.29
346,Montpellier,2014,8,18,12,45,53,42,1.11,0.18,0.37
347,Guingamp,2014,11,9,18,34,42,42,1.11,0.26,0.42
348,Nice,2014,12,6,20,30,44,42,1.11,0.34,0.47
349,Sochaux,2014,10,10,18,37,61,40,1.05,0.26,0.29
350,Valenciennes,2014,7,8,23,37,65,29,0.76,0.08,0.37
351,Ajaccio,2014,4,11,23,37,72,23,0.61,0.05,0.29
352,Paris SG,2015,24,11,3,83,36,83,2.18,0.34,0.11
353,Lyon,2015,22,9,7,72,33,75,1.97,0.42,0.16
354,Monaco,2015,20,11,7,51,26,71,1.87,0.53,0.18
355,Marseille,2015,21,6,11,76,42,69,1.82,0.32,0.18
356,Saint-Etienne,2015,19,12,7,51,30,69,1.82,0.47,0.26
357,Bordeaux,2015,17,12,9,47,44,63,1.66,0.24,0.21
358,Montpellier,2015,16,8,14,46,39,56,1.47,0.39,0.37
359,Lille,2015,16,8,14,43,42,56,1.47,0.37,0.32
360,Rennes,2015,13,11,14,35,42,50,1.32,0.39,0.39
361,Guingamp,2015,15,4,19,41,55,49,1.29,0.24,0.37
362,Nice,2015,13,9,16,44,53,48,1.26,0.26,0.34
363,Bastia,2015,12,11,15,37,46,47,1.24,0.32,0.34
364,Caen,2015,12,10,16,54,55,46,1.21,0.18,0.29
365,Nantes,2015,11,12,15,29,40,45,1.18,0.29,0.39
366,Reims,2015,12,8,18,47,66,44,1.16,0.24,0.24
367,Lorient,2015,12,7,19,44,50,43,1.13,0.26,0.42
368,Toulouse,2015,12,6,20,43,64,42,1.11,0.18,0.29
369,Evian TG,2015,11,4,23,41,62,37,0.97,0.24,0.32
370,Metz,2015,7,9,22,31,61,30,0.79,0.24,0.55
371,Lens,2015,7,8,23,32,61,29,0.76,0.24,0.42
372,Paris SG,2016,30,6,2,102,19,96,2.53,0.58,0.11
373,Lyon,2016,19,8,11,67,43,65,1.71,0.37,0.21
374,Monaco,2016,17,14,7,57,50,65,1.71,0.37,0.13
375,Nice,2016,18,9,11,58,41,63,1.66,0.32,0.26
376,Lille,2016,15,15,8,39,27,60,1.58,0.47,0.34
377,Saint-Etienne,2016,17,7,14,42,37,58,1.53,0.42,0.29
378,Caen,2016,16,6,16,39,52,54,1.42,0.26,0.34
379,Rennes,2016,13,13,12,52,54,52,1.37,0.16,0.24
380,Angers,2016,13,11,14,40,38,50,1.32,0.45,0.42
381,Bastia,2016,14,8,16,36,42,50,1.32,0.39,0.34
382,Bordeaux,2016,12,14,12,50,57,50,1.32,0.29,0.24
383,Montpellier,2016,14,7,17,49,47,49,1.29,0.24,0.42
384,Marseille,2016,10,18,10,48,42,48,1.26,0.24,0.16
385,Nantes,2016,12,12,14,33,44,48,1.26,0.39,0.42
386,Lorient,2016,11,13,14,47,58,46,1.21,0.21,0.26
387,Guingamp,2016,11,11,16,47,56,44,1.16,0.34,0.32
388,Toulouse,2016,9,13,16,45,55,40,1.05,0.21,0.32
389,Reims,2016,10,9,19,44,57,39,1.03,0.11,0.34
390,GFC Ajaccio,2016,8,13,17,37,58,37,0.97,0.16,0.39
391,Troyes,2016,3,9,26,28,83,18,0.47,0.08,0.5
