,Team,Season_Yr,WP,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS_Perc,O_eFG_Perc,O_TOV_Perc,ORB_Perc,O_FT_per_FGA,D_eFG_Perc,D_TOV_Perc,DRB_Perc,D_FT_per_FGA
0,Philadelphia 76ers,1981,0.732,7.85,-0.09,7.76,107.0,99.5,103.4,0.343,0.012,0.562,0.515,17.3,32.3,0.264,0.454,16.3,67.1,0.252
1,Milwaukee Bucks,1981,0.72,7.27,-0.13,7.14,108.7,101.8,103.6,0.313,0.018,0.546,0.5,15.7,36.3,0.241,0.461,16.6,65.6,0.28
2,Boston Celtics,1981,0.683,5.88,0.17,6.05,108.4,102.6,100.8,0.334,0.034,0.553,0.509,16.2,34.7,0.251,0.464,15.1,67.0,0.24
3,Phoenix Suns,1981,0.671,5.51,-0.68,4.83,104.6,99.4,104.7,0.332,0.022,0.537,0.492,17.1,35.1,0.247,0.471,17.5,68.2,0.244
4,Los Angeles Lakers,1981,0.622,3.84,-0.57,3.27,107.6,103.9,102.7,0.286,0.013,0.548,0.513,15.8,33.9,0.209,0.468,14.6,64.4,0.208
5,Chicago Bulls,1981,0.561,1.98,0.37,2.34,107.8,105.8,100.6,0.371,0.026,0.556,0.504,17.2,36.9,0.288,0.493,15.5,68.4,0.232
6,San Antonio Spurs,1981,0.585,2.88,-0.7,2.18,108.5,105.7,102.9,0.367,0.012,0.545,0.492,15.4,37.5,0.282,0.475,14.1,68.0,0.233
7,New York Knicks,1981,0.549,1.62,0.38,2.0,106.0,104.4,101.0,0.329,0.033,0.533,0.487,15.0,31.6,0.246,0.504,17.2,65.8,0.22
8,Indiana Pacers,1981,0.549,1.4,0.32,1.72,106.4,105.0,100.9,0.351,0.023,0.528,0.484,15.1,35.5,0.251,0.492,17.0,64.5,0.248
9,Portland Trail Blazers,1981,0.524,0.89,-0.37,0.52,106.5,105.7,103.0,0.291,0.02,0.534,0.498,15.2,33.9,0.209,0.49,15.8,65.7,0.246
10,Washington Bullets,1981,0.5,0.01,0.41,0.42,102.7,102.7,102.4,0.276,0.032,0.514,0.476,14.4,30.5,0.199,0.472,14.3,67.8,0.212
11,Houston Rockets,1981,0.512,0.33,-0.53,-0.2,107.0,106.7,100.5,0.303,0.016,0.534,0.489,14.9,33.9,0.233,0.496,14.7,66.6,0.214
12,Kansas City Kings,1981,0.5,0.01,-0.51,-0.49,104.7,104.7,101.3,0.308,0.023,0.54,0.503,15.1,29.2,0.22,0.483,15.6,68.3,0.265
13,Denver Nuggets,1981,0.488,-0.48,-0.47,-0.95,109.4,109.8,109.8,0.383,0.018,0.537,0.477,13.4,33.1,0.3,0.509,14.6,65.4,0.232
14,Golden State Warriors,1981,0.463,-1.18,-0.23,-1.41,108.5,109.7,101.0,0.345,0.029,0.537,0.493,15.6,38.8,0.251,0.507,14.4,67.5,0.25
15,San Diego Clippers,1981,0.451,-1.59,-0.2,-1.78,106.0,107.6,100.2,0.308,0.056,0.528,0.486,14.5,33.0,0.227,0.507,16.2,66.3,0.262
16,Seattle SuperSonics,1981,0.451,-1.65,-0.2,-1.84,103.2,104.8,100.3,0.333,0.016,0.521,0.47,15.7,33.1,0.254,0.468,13.8,66.1,0.232
17,Atlanta Hawks,1981,0.402,-3.1,0.73,-2.37,104.3,107.3,99.4,0.377,0.012,0.537,0.48,16.7,34.1,0.293,0.498,17.3,64.8,0.295
18,Cleveland Cavaliers,1981,0.354,-4.85,0.7,-4.15,104.3,109.1,100.8,0.251,0.033,0.513,0.472,14.2,33.5,0.195,0.507,15.2,66.0,0.251
19,New Jersey Nets,1981,0.317,-6.02,0.87,-5.15,101.0,106.7,105.2,0.324,0.019,0.525,0.478,16.6,30.4,0.243,0.506,16.4,69.2,0.281
20,Detroit Pistons,1981,0.293,-6.32,0.74,-5.58,98.1,104.3,101.2,0.334,0.012,0.51,0.464,18.0,33.4,0.242,0.512,18.6,65.9,0.242
21,Utah Jazz,1981,0.317,-5.89,-0.1,-5.99,103.4,109.4,97.7,0.305,0.024,0.536,0.491,15.5,28.3,0.234,0.492,13.8,66.8,0.268
22,Dallas Mavericks,1981,0.244,-8.4,0.07,-8.33,102.4,110.8,98.6,0.359,0.024,0.519,0.466,15.2,30.7,0.27,0.516,15.1,65.0,0.245
24,Boston Celtics,1982,0.695,6.38,-0.03,6.35,109.8,103.5,101.5,0.335,0.025,0.545,0.502,14.7,35.8,0.248,0.472,14.6,67.6,0.22
25,Philadelphia 76ers,1982,0.683,5.73,0.0,5.74,109.6,103.9,100.6,0.354,0.02,0.566,0.521,15.5,30.5,0.265,0.48,16.5,65.0,0.261
26,Milwaukee Bucks,1982,0.671,5.48,-0.1,5.38,107.7,102.3,100.0,0.332,0.023,0.553,0.509,16.5,35.1,0.25,0.471,15.9,67.3,0.253
27,Los Angeles Lakers,1982,0.646,4.87,-0.5,4.37,110.2,105.5,103.1,0.285,0.012,0.551,0.518,14.7,35.8,0.204,0.493,14.8,66.3,0.187
28,Seattle SuperSonics,1982,0.634,4.13,-0.45,3.69,106.4,102.3,100.0,0.329,0.021,0.535,0.491,14.1,31.3,0.243,0.464,14.4,67.2,0.214
29,Phoenix Suns,1982,0.61,3.45,-0.4,3.05,105.8,102.4,99.5,0.302,0.024,0.538,0.495,15.9,32.2,0.229,0.47,14.6,68.5,0.233
30,San Antonio Spurs,1982,0.573,2.3,-0.52,1.79,109.9,107.6,102.5,0.307,0.033,0.537,0.49,13.0,34.0,0.238,0.487,13.7,68.8,0.256
31,Washington Bullets,1982,0.524,0.88,0.19,1.06,103.3,102.5,99.4,0.294,0.033,0.524,0.478,14.7,29.4,0.227,0.468,13.9,69.9,0.228
32,New Jersey Nets,1982,0.524,0.68,0.18,0.87,103.0,102.3,103.1,0.326,0.02,0.529,0.487,16.6,33.7,0.237,0.486,18.3,67.0,0.281
33,Atlanta Hawks,1982,0.524,0.54,0.27,0.81,105.1,104.6,95.1,0.352,0.019,0.529,0.476,14.6,32.2,0.271,0.473,15.6,67.6,0.282
34,Golden State Warriors,1982,0.537,1.04,-0.24,0.8,108.8,107.7,101.4,0.324,0.044,0.541,0.502,14.5,34.8,0.233,0.493,14.1,68.8,0.256
35,Portland Trail Blazers,1982,0.524,0.6,-0.21,0.39,108.8,108.2,100.5,0.332,0.019,0.547,0.507,14.4,32.5,0.239,0.502,15.0,65.9,0.223
36,Denver Nuggets,1982,0.512,0.52,-0.4,0.13,114.3,113.9,109.8,0.389,0.019,0.578,0.522,14.1,31.8,0.31,0.528,13.9,64.3,0.213
37,Houston Rockets,1982,0.5,-0.04,-0.36,-0.39,108.3,108.3,97.2,0.302,0.024,0.52,0.479,13.7,37.8,0.22,0.5,14.3,66.1,0.209
38,Detroit Pistons,1982,0.476,-0.91,0.28,-0.63,105.8,106.6,104.3,0.349,0.029,0.534,0.485,16.0,34.8,0.262,0.512,16.4,66.9,0.224
39,Indiana Pacers,1982,0.439,-1.87,0.38,-1.49,102.7,104.6,98.7,0.304,0.044,0.516,0.472,14.6,30.5,0.225,0.494,15.9,66.3,0.221
40,Chicago Bulls,1982,0.439,-2.02,0.45,-1.57,106.6,108.6,99.0,0.378,0.032,0.557,0.505,17.3,33.6,0.29,0.499,13.2,69.0,0.207
41,New York Knicks,1982,0.415,-2.67,0.52,-2.15,106.0,108.6,99.5,0.302,0.03,0.535,0.495,15.4,33.1,0.223,0.508,15.4,66.9,0.255
42,Kansas City Kings,1982,0.402,-3.1,-0.15,-3.25,104.2,107.2,101.8,0.296,0.018,0.533,0.497,15.5,29.9,0.213,0.504,16.5,66.0,0.287
43,Dallas Mavericks,1982,0.354,-4.43,-0.06,-4.48,105.9,110.4,98.5,0.328,0.026,0.519,0.473,13.7,33.9,0.241,0.51,14.5,66.8,0.266
44,Utah Jazz,1982,0.329,-5.66,0.03,-5.63,106.2,111.7,103.9,0.306,0.013,0.538,0.496,14.5,30.6,0.23,0.513,14.1,65.3,0.244
45,San Diego Clippers,1982,0.28,-7.39,0.34,-7.05,106.6,113.8,101.4,0.33,0.048,0.547,0.507,16.2,33.2,0.238,0.529,13.9,68.0,0.28
46,Cleveland Cavaliers,1982,0.244,-8.51,0.74,-7.77,103.3,111.8,99.3,0.297,0.019,0.51,0.466,13.7,32.0,0.222,0.515,14.7,65.9,0.271
48,Philadelphia 76ers,1983,0.732,7.67,-0.14,7.53,108.3,100.9,102.7,0.367,0.015,0.549,0.501,16.3,37.1,0.273,0.464,15.8,66.2,0.217
49,Boston Celtics,1983,0.671,5.35,-0.01,5.34,106.9,101.8,104.0,0.311,0.025,0.536,0.494,15.2,34.7,0.229,0.473,16.0,68.1,0.236
50,Los Angeles Lakers,1983,0.671,5.55,-0.49,5.06,110.5,105.2,103.8,0.27,0.013,0.561,0.528,15.9,36.3,0.199,0.494,15.5,65.3,0.191
51,Phoenix Suns,1983,0.659,5.06,-0.45,4.61,105.1,100.1,101.6,0.306,0.022,0.54,0.499,16.0,32.0,0.227,0.458,15.9,67.5,0.235
52,Milwaukee Bucks,1983,0.646,4.4,-0.08,4.32,105.8,101.4,100.0,0.322,0.024,0.537,0.491,15.1,31.8,0.243,0.459,15.5,65.5,0.228
53,San Antonio Spurs,1983,0.61,3.66,-0.56,3.1,110.1,106.6,103.3,0.336,0.042,0.556,0.51,15.1,35.3,0.257,0.489,14.4,69.1,0.228
54,Seattle SuperSonics,1983,0.598,3.21,-0.33,2.88,105.9,102.8,103.2,0.338,0.019,0.539,0.496,15.5,32.5,0.247,0.464,14.3,66.2,0.21
55,New Jersey Nets,1983,0.598,2.77,0.01,2.77,101.6,98.9,104.0,0.322,0.021,0.532,0.494,18.7,36.8,0.227,0.481,18.9,68.8,0.251
56,New York Knicks,1983,0.585,2.45,0.13,2.58,102.4,99.9,97.0,0.336,0.019,0.526,0.484,16.2,31.6,0.239,0.478,18.1,67.8,0.257
57,Portland Trail Blazers,1983,0.573,2.13,-0.25,1.88,106.0,103.9,101.0,0.353,0.021,0.535,0.488,15.4,33.3,0.26,0.49,16.0,67.9,0.218
58,Kansas City Kings,1983,0.549,1.45,-0.41,1.04,106.2,104.9,106.6,0.338,0.029,0.542,0.5,16.4,34.3,0.246,0.49,16.8,65.8,0.291
59,Denver Nuggets,1983,0.512,0.62,-0.36,0.27,109.7,109.1,112.1,0.337,0.016,0.55,0.495,14.0,31.0,0.272,0.509,15.1,64.8,0.22
60,Washington Bullets,1983,0.5,-0.13,0.33,0.2,99.1,99.3,99.4,0.292,0.034,0.511,0.473,16.6,30.4,0.206,0.471,16.2,68.6,0.214
61,Detroit Pistons,1983,0.488,-0.4,0.24,-0.17,105.4,105.8,105.8,0.34,0.036,0.529,0.481,15.1,33.6,0.253,0.496,15.4,66.2,0.214
62,Dallas Mavericks,1983,0.488,-0.41,-0.29,-0.7,109.4,109.8,102.8,0.326,0.025,0.535,0.489,13.5,34.8,0.245,0.506,14.0,66.2,0.228
63,Atlanta Hawks,1983,0.463,-0.95,0.23,-0.72,102.2,103.2,98.9,0.295,0.026,0.516,0.472,15.0,30.7,0.222,0.473,15.2,65.1,0.223
64,Golden State Warriors,1983,0.39,-3.62,0.14,-3.48,103.9,107.4,104.0,0.293,0.02,0.526,0.485,15.9,33.9,0.216,0.513,16.9,64.6,0.241
65,Utah Jazz,1983,0.366,-4.2,-0.03,-4.22,101.2,105.1,107.3,0.332,0.025,0.531,0.483,16.7,29.0,0.251,0.481,15.2,63.9,0.208
66,Chicago Bulls,1983,0.354,-4.89,0.48,-4.41,103.4,108.0,106.1,0.365,0.028,0.532,0.483,16.9,34.0,0.269,0.498,14.3,67.9,0.237
67,San Diego Clippers,1983,0.354,-4.83,0.22,-4.61,104.7,109.3,103.0,0.288,0.034,0.518,0.479,15.7,37.1,0.208,0.531,17.6,65.8,0.284
68,Indiana Pacers,1983,0.329,-5.85,0.49,-5.36,103.8,109.4,103.9,0.247,0.031,0.52,0.483,15.2,33.6,0.187,0.52,16.4,65.5,0.249
69,Cleveland Cavaliers,1983,0.268,-7.44,0.66,-6.78,99.2,106.8,97.6,0.283,0.017,0.506,0.467,16.4,33.0,0.204,0.492,13.8,71.3,0.258
70,Houston Rockets,1983,0.171,-11.6,0.48,-11.12,97.0,108.3,102.2,0.26,0.036,0.491,0.453,15.9,30.8,0.188,0.505,15.4,65.4,0.246
72,Boston Celtics,1984,0.695,6.56,-0.14,6.42,110.9,104.4,99.7,0.333,0.032,0.554,0.504,14.6,34.2,0.264,0.475,13.8,69.7,0.225
73,Milwaukee Bucks,1984,0.634,4.16,-0.12,4.04,107.8,103.6,96.9,0.338,0.033,0.541,0.497,15.0,33.7,0.25,0.459,14.7,65.6,0.266
74,New York Knicks,1984,0.622,3.84,-0.05,3.79,107.0,103.1,99.0,0.367,0.024,0.552,0.499,16.7,33.4,0.284,0.491,17.8,68.1,0.281
75,Detroit Pistons,1984,0.61,3.59,-0.06,3.52,111.5,108.1,103.8,0.322,0.018,0.532,0.482,12.7,36.7,0.25,0.5,14.8,67.7,0.263
76,Los Angeles Lakers,1984,0.61,3.76,-0.44,3.32,110.9,107.3,103.7,0.313,0.031,0.574,0.536,16.1,33.7,0.236,0.487,14.3,66.6,0.232
77,Portland Trail Blazers,1984,0.61,3.55,-0.42,3.13,111.2,107.7,101.1,0.367,0.018,0.556,0.507,15.1,36.4,0.277,0.518,17.0,67.4,0.259
78,Philadelphia 76ers,1984,0.573,2.2,0.2,2.39,106.8,104.6,99.6,0.396,0.016,0.551,0.497,16.9,34.6,0.299,0.484,16.0,65.9,0.246
79,New Jersey Nets,1984,0.537,1.1,0.17,1.27,106.1,105.0,103.0,0.343,0.032,0.54,0.501,16.1,34.6,0.24,0.494,17.0,67.8,0.292
80,Utah Jazz,1984,0.537,1.13,-0.32,0.81,109.0,108.0,104.9,0.374,0.044,0.559,0.505,15.2,30.8,0.292,0.479,13.9,63.4,0.229
81,Phoenix Suns,1984,0.524,0.89,-0.24,0.65,108.9,108.0,101.4,0.305,0.04,0.556,0.514,15.1,31.4,0.232,0.501,15.3,68.3,0.277
82,Dallas Mavericks,1984,0.512,0.43,-0.27,0.15,110.0,109.6,99.0,0.325,0.025,0.547,0.503,13.6,31.7,0.245,0.503,14.4,65.7,0.232
83,Seattle SuperSonics,1984,0.5,-0.17,-0.17,-0.34,107.9,108.1,99.7,0.347,0.02,0.543,0.49,14.3,30.7,0.271,0.492,13.8,66.6,0.226
84,San Antonio Spurs,1984,0.488,-0.27,-0.23,-0.5,111.2,111.4,106.5,0.337,0.034,0.556,0.511,14.0,33.4,0.255,0.508,13.7,66.2,0.233
85,Atlanta Hawks,1984,0.451,-1.29,0.22,-1.08,105.5,106.9,95.3,0.355,0.016,0.529,0.476,14.4,31.6,0.27,0.482,15.1,65.2,0.268
86,Denver Nuggets,1984,0.463,-1.1,-0.17,-1.27,111.3,112.3,110.5,0.337,0.032,0.553,0.498,12.8,29.3,0.276,0.522,14.6,66.6,0.277
87,Kansas City Kings,1984,0.451,-1.48,-0.15,-1.62,106.5,108.0,102.9,0.345,0.026,0.542,0.49,15.3,32.4,0.268,0.505,16.1,66.9,0.266
88,Washington Bullets,1984,0.402,-2.89,0.53,-2.36,104.2,107.2,97.4,0.319,0.041,0.535,0.489,15.5,30.1,0.241,0.492,13.7,69.7,0.239
89,Houston Rockets,1984,0.402,-3.09,-0.04,-3.12,105.3,108.2,104.7,0.284,0.02,0.535,0.497,15.6,32.8,0.21,0.486,14.1,67.5,0.285
90,San Diego Clippers,1984,0.402,-3.26,0.04,-3.21,109.2,112.4,101.1,0.331,0.017,0.541,0.498,15.3,37.7,0.244,0.513,12.9,68.2,0.236
91,Golden State Warriors,1984,0.39,-3.4,0.05,-3.35,105.5,108.8,103.3,0.342,0.03,0.52,0.471,14.9,35.6,0.254,0.519,17.0,64.2,0.25
92,Cleveland Cavaliers,1984,0.366,-4.26,0.55,-3.71,104.1,108.5,97.4,0.301,0.023,0.512,0.468,14.0,33.5,0.224,0.49,13.2,70.8,0.28
93,Indiana Pacers,1984,0.341,-4.82,0.57,-4.25,101.8,106.5,102.1,0.297,0.029,0.531,0.487,15.9,28.1,0.228,0.497,16.2,66.8,0.255
94,Chicago Bulls,1984,0.341,-5.18,0.5,-4.69,102.4,107.5,99.8,0.36,0.017,0.526,0.475,16.3,32.3,0.268,0.497,15.6,67.2,0.266
96,Milwaukee Bucks,1985,0.707,6.85,-0.16,6.69,110.5,103.6,99.7,0.341,0.041,0.545,0.497,14.2,35.4,0.258,0.467,16.1,65.6,0.29
97,Los Angeles Lakers,1985,0.707,7.35,-0.87,6.48,114.1,107.0,103.2,0.308,0.041,0.589,0.551,15.7,33.8,0.235,0.485,13.7,67.1,0.22
98,Boston Celtics,1985,0.695,6.65,-0.18,6.47,112.8,106.3,101.6,0.315,0.042,0.564,0.515,13.8,32.8,0.254,0.481,12.6,70.4,0.198
99,Philadelphia 76ers,1985,0.622,4.1,0.07,4.17,111.3,107.3,100.8,0.412,0.032,0.561,0.497,16.0,37.4,0.331,0.494,15.7,66.6,0.259
100,Portland Trail Blazers,1985,0.598,3.4,-0.6,2.8,110.4,107.2,103.5,0.362,0.027,0.554,0.506,14.8,34.0,0.271,0.497,15.9,64.4,0.232
101,Detroit Pistons,1985,0.573,2.49,0.24,2.73,109.6,107.2,105.0,0.283,0.025,0.529,0.483,13.0,35.4,0.223,0.501,14.9,69.6,0.245
102,Denver Nuggets,1985,0.573,2.44,-0.39,2.05,110.7,108.4,107.6,0.322,0.029,0.54,0.491,13.2,33.6,0.253,0.516,17.0,66.1,0.275
103,Dallas Mavericks,1985,0.573,2.17,-0.37,1.8,111.5,109.3,98.8,0.319,0.061,0.549,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.221
104,Houston Rockets,1985,0.549,1.72,-0.34,1.38,107.9,106.3,102.2,0.304,0.025,0.54,0.507,16.0,37.4,0.213,0.487,15.2,67.4,0.259
105,New Jersey Nets,1985,0.512,0.23,0.41,0.64,107.9,107.7,101.0,0.3,0.03,0.532,0.493,13.8,33.9,0.219,0.505,15.6,68.2,0.263
106,San Antonio Spurs,1985,0.524,0.91,-0.29,0.63,109.9,109.0,103.9,0.357,0.028,0.565,0.517,15.6,33.2,0.272,0.501,15.0,68.5,0.269
107,Washington Bullets,1985,0.488,-0.27,0.42,0.15,104.3,104.6,100.3,0.269,0.054,0.524,0.486,13.4,27.5,0.2,0.491,15.3,68.2,0.226
108,Utah Jazz,1985,0.5,-0.11,-0.22,-0.33,103.3,103.4,105.1,0.333,0.042,0.534,0.483,15.8,29.0,0.257,0.469,15.7,65.3,0.238
109,Chicago Bulls,1985,0.476,-0.84,0.34,-0.5,108.7,109.6,99.4,0.366,0.023,0.556,0.502,15.4,32.2,0.287,0.495,13.8,67.5,0.257
110,Atlanta Hawks,1985,0.451,-1.45,0.31,-1.14,105.9,107.3,99.8,0.333,0.033,0.536,0.489,15.3,32.5,0.25,0.485,15.2,63.8,0.249
111,Cleveland Cavaliers,1985,0.415,-2.76,0.48,-2.27,106.0,108.7,101.9,0.338,0.045,0.526,0.478,14.1,32.9,0.254,0.483,13.7,66.9,0.265
112,Phoenix Suns,1985,0.427,-2.11,-0.23,-2.34,104.7,106.8,102.5,0.319,0.043,0.544,0.497,16.3,29.8,0.246,0.498,15.0,68.3,0.24
113,Kansas City Kings,1985,0.415,-2.67,-0.04,-2.71,109.5,112.1,104.4,0.357,0.033,0.559,0.508,15.9,34.0,0.278,0.514,14.2,66.6,0.262
114,New York Knicks,1985,0.354,-4.63,0.54,-4.09,104.9,109.6,99.5,0.331,0.028,0.53,0.487,15.2,31.7,0.24,0.499,16.5,63.3,0.339
115,Los Angeles Clippers,1985,0.366,-4.49,-0.07,-4.55,105.8,110.3,100.9,0.31,0.026,0.543,0.499,16.4,33.8,0.235,0.495,12.7,66.1,0.21
116,Seattle SuperSonics,1985,0.329,-5.44,0.0,-5.44,102.8,108.2,99.3,0.334,0.027,0.529,0.477,15.9,30.0,0.257,0.498,14.6,67.3,0.238
117,Indiana Pacers,1985,0.317,-6.21,0.75,-5.46,102.5,108.4,105.1,0.344,0.021,0.527,0.478,16.1,31.7,0.255,0.499,14.3,70.5,0.282
118,Golden State Warriors,1985,0.293,-7.34,0.13,-7.21,106.0,113.0,103.2,0.335,0.053,0.522,0.47,14.4,34.5,0.257,0.54,16.1,66.0,0.268
120,Boston Celtics,1986,0.768,9.41,-0.36,9.06,111.8,102.6,101.2,0.307,0.054,0.564,0.518,14.1,31.3,0.244,0.466,13.0,71.7,0.216
121,Milwaukee Bucks,1986,0.756,9.04,-0.35,8.69,111.4,102.7,102.1,0.369,0.052,0.552,0.501,13.9,33.8,0.282,0.473,16.6,67.4,0.281
122,Los Angeles Lakers,1986,0.72,7.74,-0.91,6.84,113.3,105.8,102.7,0.317,0.056,0.575,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.239
123,Atlanta Hawks,1986,0.573,2.37,0.22,2.59,107.9,105.6,100.0,0.385,0.024,0.542,0.493,15.3,34.9,0.282,0.481,15.4,66.7,0.269
124,Philadelphia 76ers,1986,0.573,2.35,0.11,2.46,108.6,106.3,100.5,0.398,0.032,0.546,0.49,16.1,37.3,0.302,0.499,15.6,66.7,0.211
125,Houston Rockets,1986,0.585,2.61,-0.51,2.1,110.1,107.6,103.5,0.317,0.04,0.536,0.496,13.6,35.5,0.232,0.497,14.8,67.2,0.243
126,Detroit Pistons,1986,0.537,1.17,0.27,1.44,109.0,107.9,104.2,0.297,0.023,0.534,0.488,13.3,33.5,0.232,0.496,14.9,67.6,0.266
127,Denver Nuggets,1986,0.537,1.3,-0.42,0.89,107.1,105.9,106.7,0.307,0.039,0.527,0.475,13.0,30.9,0.245,0.495,16.9,64.1,0.266
128,Dallas Mavericks,1986,0.537,1.1,-0.4,0.7,112.1,111.0,102.2,0.364,0.061,0.562,0.51,13.3,30.0,0.283,0.508,13.0,66.8,0.201
129,Portland Trail Blazers,1986,0.537,1.06,-0.45,0.61,109.2,108.2,104.5,0.384,0.038,0.554,0.501,15.2,32.8,0.294,0.507,16.4,66.3,0.275
130,Seattle SuperSonics,1986,0.5,-0.1,-0.37,-0.47,105.9,106.0,97.4,0.33,0.042,0.53,0.478,15.1,33.2,0.257,0.492,15.7,68.7,0.282
131,Utah Jazz,1986,0.488,-0.37,-0.3,-0.67,104.2,104.6,103.3,0.38,0.024,0.536,0.49,15.5,29.8,0.272,0.477,15.4,67.2,0.258
132,Washington Bullets,1986,0.439,-1.8,0.53,-1.28,103.0,104.8,99.1,0.32,0.057,0.518,0.471,14.2,29.1,0.238,0.472,14.2,66.1,0.224
133,New Jersey Nets,1986,0.439,-1.99,0.6,-1.39,105.0,106.9,103.3,0.328,0.029,0.536,0.489,15.9,33.3,0.248,0.499,15.5,70.6,0.282
134,San Antonio Spurs,1986,0.439,-1.85,-0.2,-2.06,106.5,108.2,103.8,0.355,0.028,0.555,0.509,16.5,31.7,0.265,0.499,15.2,67.6,0.26
135,Cleveland Cavaliers,1986,0.415,-2.87,0.68,-2.19,105.5,108.3,101.6,0.321,0.054,0.535,0.49,14.6,30.3,0.241,0.48,13.6,68.5,0.292
136,Indiana Pacers,1986,0.39,-3.33,0.67,-2.66,102.6,105.9,100.9,0.305,0.02,0.525,0.483,15.7,31.5,0.226,0.479,13.7,71.3,0.277
137,Chicago Bulls,1986,0.378,-3.8,0.69,-3.12,108.6,112.4,99.7,0.346,0.044,0.538,0.487,14.7,35.1,0.266,0.509,13.5,67.4,0.28
138,Phoenix Suns,1986,0.402,-2.99,-0.17,-3.16,104.3,107.2,104.8,0.384,0.026,0.552,0.506,17.7,31.3,0.279,0.495,15.1,68.3,0.279
139,Sacramento Kings,1986,0.402,-3.07,-0.12,-3.19,106.2,109.2,102.0,0.324,0.019,0.541,0.492,15.7,32.7,0.252,0.499,14.4,67.5,0.273
140,Golden State Warriors,1986,0.402,-3.45,-0.14,-3.59,108.3,111.6,104.2,0.333,0.037,0.536,0.488,13.9,33.5,0.253,0.524,14.9,66.7,0.241
141,New York Knicks,1986,0.317,-5.61,0.79,-4.82,99.5,105.2,98.6,0.318,0.034,0.505,0.466,15.2,29.5,0.218,0.484,17.1,65.0,0.315
142,Los Angeles Clippers,1986,0.293,-6.93,0.1,-6.83,105.4,112.1,102.7,0.374,0.032,0.534,0.477,15.3,32.0,0.288,0.512,14.0,64.0,0.225
144,Los Angeles Lakers,1987,0.756,9.3,-0.99,8.32,115.6,106.5,101.6,0.352,0.062,0.577,0.528,14.0,34.1,0.278,0.476,13.8,66.3,0.23
145,Atlanta Hawks,1987,0.72,7.23,-0.05,7.18,112.6,105.2,97.4,0.373,0.06,0.543,0.49,13.3,37.2,0.283,0.46,13.9,67.4,0.284
146,Boston Celtics,1987,0.695,6.65,-0.08,6.57,113.5,106.8,98.6,0.305,0.08,0.577,0.532,14.0,29.0,0.247,0.471,12.0,67.6,0.217
147,Dallas Mavericks,1987,0.683,6.3,-0.77,5.54,114.9,108.7,100.5,0.369,0.089,0.558,0.503,12.3,33.8,0.291,0.486,13.5,66.5,0.233
148,Milwaukee Bucks,1987,0.622,3.91,0.12,4.04,109.5,105.6,100.3,0.35,0.079,0.539,0.487,13.0,31.1,0.268,0.479,16.0,66.1,0.307
149,Detroit Pistons,1987,0.61,3.44,0.07,3.51,109.2,105.8,101.0,0.36,0.023,0.544,0.492,14.5,34.7,0.275,0.471,13.3,69.9,0.267
150,Portland Trail Blazers,1987,0.598,3.13,-0.57,2.57,111.5,108.6,105.0,0.404,0.047,0.566,0.51,15.3,34.1,0.313,0.493,14.8,66.6,0.265
151,Chicago Bulls,1987,0.524,0.89,0.37,1.26,108.6,107.6,95.8,0.315,0.042,0.528,0.478,13.4,35.0,0.245,0.491,13.8,70.0,0.251
152,Houston Rockets,1987,0.537,1.0,-0.4,0.6,106.5,105.5,99.9,0.324,0.045,0.528,0.483,14.3,33.5,0.24,0.47,14.1,68.0,0.261
153,Philadelphia 76ers,1987,0.488,-0.2,0.31,0.11,108.3,108.5,97.3,0.385,0.05,0.549,0.497,16.1,34.9,0.29,0.499,14.5,65.7,0.215
154,Seattle SuperSonics,1987,0.512,0.46,-0.39,0.08,110.7,110.3,101.8,0.345,0.077,0.543,0.495,15.0,37.6,0.261,0.486,13.5,66.0,0.296
155,Utah Jazz,1987,0.512,0.4,-0.36,0.04,104.1,103.7,103.2,0.318,0.06,0.516,0.473,14.1,31.2,0.231,0.466,15.7,65.2,0.269
156,Indiana Pacers,1987,0.476,-0.65,0.47,-0.17,106.0,106.6,98.8,0.296,0.043,0.525,0.478,13.4,30.5,0.232,0.487,14.9,68.8,0.281
157,Washington Bullets,1987,0.451,-1.37,0.35,-1.02,105.7,107.0,100.2,0.342,0.029,0.511,0.457,13.3,34.5,0.262,0.48,14.6,63.4,0.222
158,Denver Nuggets,1987,0.476,-0.87,-0.28,-1.14,109.3,110.2,106.2,0.323,0.049,0.527,0.478,11.8,32.2,0.248,0.503,15.4,67.0,0.307
159,Golden State Warriors,1987,0.427,-2.34,-0.2,-2.54,108.9,111.2,101.7,0.341,0.049,0.539,0.487,13.7,32.5,0.266,0.503,14.2,65.3,0.272
160,Phoenix Suns,1987,0.427,-2.44,-0.19,-2.63,108.0,110.3,102.0,0.348,0.035,0.55,0.501,15.3,32.1,0.264,0.502,14.4,65.7,0.265
161,Cleveland Cavaliers,1987,0.378,-3.82,0.63,-3.19,102.6,106.4,101.3,0.359,0.047,0.519,0.476,16.4,34.4,0.25,0.484,14.2,65.9,0.224
162,Sacramento Kings,1987,0.402,-3.22,-0.12,-3.34,108.9,112.1,101.3,0.334,0.041,0.535,0.48,14.2,35.2,0.266,0.498,12.4,67.8,0.257
