,Tm,Season_Yr,R_per_G,PA,AB,B_R,B_H,2B,3B,B_HR,RBI,SB,CS,B_BB,B_SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,B_HBP,SH,SF,B_IBB,B_LOB,RA_per_G,WinLoss_Perc,ERA,CG,tSho,cSho,SV,IP,P_H,P_R,ER,P_HR,P_BB,P_IBB,P_SO,P_HBP,BK,WP,BF,ERA_Plus,FIP,WHIP,H9,HR9,BB9,SO9,SO_per_W,P_LOB
16,MIN,2014,4.41,6233.0,5567.0,715.0,1412.0,316.0,27.0,128.0,675.0,99.0,36.0,544.0,1329.0,0.254,0.324,0.389,0.713,100.0,2166.0,97.0,53.0,25.0,44.0,29.0,1176.0,4.8,0.432,4.57,2.0,7.0,0.0,38.0,1435.0,1588.0,777.0,728.0,147.0,408.0,24.0,1031.0,45.0,6.0,50.0,6212.0,86.0,3.97,1.391,10.0,0.9,2.6,6.5,2.53,1130.0
17,NYM,2014,3.88,6145.0,5472.0,629.0,1306.0,275.0,19.0,125.0,602.0,101.0,34.0,516.0,1264.0,0.239,0.308,0.364,0.673,93.0,1994.0,112.0,54.0,59.0,44.0,42.0,1123.0,3.81,0.488,3.49,1.0,11.0,1.0,42.0,1463.2,1370.0,618.0,568.0,141.0,509.0,38.0,1303.0,50.0,1.0,56.0,6170.0,100.0,3.75,1.284,8.4,0.9,3.1,8.0,2.56,1161.0
18,NYY,2014,3.91,6082.0,5497.0,633.0,1349.0,247.0,26.0,147.0,591.0,112.0,26.0,452.0,1133.0,0.245,0.307,0.38,0.687,94.0,2089.0,111.0,56.0,29.0,47.0,16.0,1098.0,4.1,0.519,3.75,5.0,10.0,2.0,48.0,1453.0,1392.0,664.0,605.0,164.0,398.0,23.0,1370.0,65.0,6.0,49.0,6114.0,104.0,3.67,1.232,8.6,1.0,2.5,8.5,3.44,1091.0
19,OAK,2014,4.5,6245.0,5545.0,729.0,1354.0,253.0,33.0,146.0,686.0,83.0,20.0,586.0,1104.0,0.244,0.32,0.381,0.7,99.0,2111.0,118.0,49.0,19.0,43.0,34.0,1147.0,3.53,0.543,3.22,7.0,13.0,3.0,31.0,1463.1,1269.0,572.0,524.0,147.0,406.0,28.0,1244.0,48.0,1.0,59.0,5972.0,116.0,3.67,1.145,7.8,0.9,2.5,7.7,3.06,1010.0
20,PHI,2014,3.82,6198.0,5603.0,619.0,1356.0,251.0,27.0,125.0,584.0,109.0,26.0,443.0,1306.0,0.242,0.302,0.363,0.665,86.0,2036.0,94.0,55.0,59.0,37.0,42.0,1147.0,4.24,0.451,3.79,2.0,12.0,0.0,40.0,1468.1,1396.0,687.0,619.0,134.0,521.0,43.0,1255.0,69.0,1.0,49.0,6261.0,98.0,3.81,1.306,8.6,0.8,3.2,7.7,2.41,1169.0
21,PIT,2014,4.21,6224.0,5536.0,682.0,1436.0,275.0,30.0,156.0,659.0,104.0,47.0,520.0,1244.0,0.259,0.33,0.404,0.734,107.0,2239.0,127.0,78.0,54.0,35.0,46.0,1192.0,3.9,0.543,3.47,2.0,7.0,1.0,48.0,1456.1,1341.0,631.0,562.0,128.0,499.0,43.0,1228.0,88.0,3.0,71.0,6130.0,102.0,3.8,1.263,8.3,0.8,3.1,7.6,2.46,1130.0
22,SDP,2014,3.3,5905.0,5294.0,535.0,1199.0,224.0,30.0,109.0,500.0,91.0,34.0,468.0,1294.0,0.226,0.292,0.342,0.634,85.0,1810.0,118.0,41.0,56.0,45.0,27.0,1033.0,3.56,0.475,3.27,4.0,10.0,3.0,41.0,1438.2,1300.0,577.0,523.0,117.0,462.0,32.0,1284.0,46.0,4.0,57.0,6006.0,103.0,3.46,1.225,8.1,0.7,2.9,8.0,2.78,1113.0
23,SEA,2014,3.91,5977.0,5450.0,634.0,1328.0,247.0,32.0,136.0,600.0,96.0,42.0,396.0,1232.0,0.244,0.3,0.376,0.676,95.0,2047.0,112.0,60.0,35.0,34.0,33.0,1008.0,3.42,0.537,3.17,2.0,9.0,1.0,51.0,1452.0,1240.0,554.0,512.0,137.0,463.0,36.0,1317.0,52.0,8.0,80.0,5974.0,115.0,3.61,1.173,7.7,0.8,2.9,8.2,2.84,1064.0
24,SFG,2014,4.1,6087.0,5523.0,665.0,1407.0,257.0,42.0,132.0,636.0,56.0,27.0,427.0,1245.0,0.255,0.311,0.388,0.699,99.0,2144.0,113.0,43.0,45.0,49.0,37.0,1095.0,3.79,0.543,3.5,8.0,12.0,3.0,46.0,1449.0,1305.0,614.0,564.0,133.0,389.0,35.0,1211.0,57.0,6.0,49.0,5947.0,100.0,3.58,1.169,8.1,0.8,2.4,7.5,3.11,986.0
25,STL,2014,3.82,6086.0,5426.0,619.0,1371.0,275.0,21.0,105.0,585.0,57.0,32.0,471.0,1133.0,0.253,0.32,0.369,0.689,93.0,2003.0,140.0,86.0,64.0,39.0,28.0,1145.0,3.72,0.556,3.5,8.0,23.0,5.0,55.0,1448.2,1321.0,603.0,564.0,123.0,470.0,35.0,1221.0,61.0,5.0,44.0,6069.0,105.0,3.65,1.236,8.2,0.8,2.9,7.6,2.6,1120.0
26,TBR,2014,3.78,6205.0,5516.0,612.0,1361.0,263.0,24.0,117.0,586.0,63.0,27.0,527.0,1124.0,0.247,0.317,0.367,0.684,96.0,2023.0,135.0,66.0,43.0,53.0,31.0,1193.0,3.86,0.475,3.56,3.0,22.0,1.0,37.0,1463.2,1292.0,625.0,579.0,145.0,482.0,27.0,1437.0,58.0,3.0,65.0,6131.0,105.0,3.56,1.212,7.9,0.9,3.0,8.8,2.98,1115.0
27,TEX,2014,3.93,6026.0,5460.0,637.0,1400.0,260.0,28.0,111.0,597.0,105.0,59.0,417.0,1162.0,0.256,0.314,0.375,0.689,94.0,2049.0,148.0,61.0,41.0,45.0,37.0,1066.0,4.77,0.414,4.49,6.0,17.0,4.0,33.0,1426.1,1510.0,773.0,711.0,160.0,505.0,43.0,1110.0,61.0,7.0,61.0,6195.0,87.0,4.22,1.413,9.5,1.0,3.2,7.0,2.2,1143.0
28,TOR,2014,4.46,6167.0,5549.0,723.0,1435.0,282.0,24.0,177.0,690.0,78.0,21.0,502.0,1151.0,0.259,0.323,0.414,0.736,106.0,2296.0,128.0,41.0,35.0,40.0,27.0,1122.0,4.23,0.512,4.0,3.0,16.0,2.0,45.0,1443.0,1400.0,686.0,642.0,151.0,490.0,23.0,1199.0,57.0,5.0,43.0,6150.0,98.0,3.97,1.31,8.7,0.9,3.1,7.5,2.45,1135.0
29,WSN,2014,4.23,6216.0,5542.0,686.0,1403.0,265.0,27.0,152.0,635.0,101.0,23.0,517.0,1304.0,0.253,0.321,0.393,0.714,96.0,2178.0,115.0,56.0,60.0,41.0,29.0,1160.0,3.43,0.593,3.03,5.0,19.0,4.0,45.0,1470.2,1351.0,555.0,495.0,110.0,352.0,26.0,1288.0,51.0,2.0,37.0,6020.0,124.0,3.17,1.158,8.3,0.7,2.2,7.9,3.66,1053.0
