Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2016,Getafe,0,FC Barcelona,6
2016,Real Sociedad,0,Celta Vigo,1
2016,Deportivo,0,Atletico Madrid,3
2016,Eibar,1,Rayo Vallecano,1
2016,Valencia,0,Levante,1
2016,Villarreal,2,FC Sevilla,4
2016,Real Betis,1,Athletic Bilbao,3
2016,Real Madrid,2,Las Palmas,1
2016,Espanyol,1,Granada,1
2016,Eibar,1,Getafe,1
2016,Atletico Madrid,1,Sporting Gijon,2
2016,Rayo Vallecano,2,Granada,2
2016,Las Palmas,1,Real Sociedad,0
2016,Levante,1,Deportivo,2
2016,Malaga,1,Real Betis,0
2016,Athletic Bilbao,1,Espanyol,2
2016,FC Barcelona,2,Villarreal,2
2016,Celta Vigo,2,Valencia,0
2016,FC Sevilla,0,Real Madrid,4
2016,Getafe,0,Rayo Vallecano,2
2016,Real Betis,1,Atletico Madrid,5
2016,Valencia,1,Las Palmas,2
2016,Real Madrid,2,FC Barcelona,1
2016,Deportivo,1,Celta Vigo,1
2016,Granada,1,Athletic Bilbao,1
2016,Espanyol,1,Malaga,1
2016,Villarreal,2,Eibar,1
2016,Real Sociedad,2,FC Sevilla,1
2016,Sporting Gijon,0,Levante,0
2016,Malaga,0,Granada,0
2016,Eibar,0,Real Madrid,4
2016,Atletico Madrid,3,Espanyol,1
2016,FC Barcelona,0,Real Sociedad,1
2016,Levante,0,Real Betis,1
2016,Celta Vigo,1,Sporting Gijon,0
2016,FC Sevilla,1,Valencia,2
2016,Getafe,0,Villarreal,2
2016,Rayo Vallecano,0,Athletic Bilbao,1
2016,Las Palmas,3,Deportivo,1
2016,Espanyol,1,Levante,2
2016,Real Madrid,5,Getafe,1
2016,Sporting Gijon,1,Las Palmas,1
2016,Real Sociedad,1,Eibar,2
2016,Real Betis,1,Celta Vigo,1
2016,Athletic Bilbao,1,Malaga,0
2016,Deportivo,1,FC Sevilla,1
2016,Granada,0,Atletico Madrid,3
2016,Villarreal,1,Rayo Vallecano,2
2016,Valencia,2,FC Barcelona,1
2016,Celta Vigo,1,Espanyol,1
2016,Las Palmas,0,Real Betis,1
2016,FC Barcelona,8,Deportivo,0
2016,Atletico Madrid,1,Athletic Bilbao,0
2016,Rayo Vallecano,1,Malaga,1
2016,Eibar,0,Valencia,4
2016,FC Sevilla,1,Sporting Gijon,2
2016,Villarreal,0,Real Madrid,3
2016,Getafe,2,Real Sociedad,1
2016,Levante,1,Granada,5
2016,Espanyol,0,Las Palmas,4
2016,Real Madrid,3,Rayo Vallecano,2
2016,Malaga,0,Atletico Madrid,1
