,Tm,Season_Yr,R_per_G,PA,AB,B_R,B_H,2B,3B,B_HR,RBI,SB,CS,B_BB,B_SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,B_HBP,SH,SF,B_IBB,B_LOB,RA_per_G,WinLoss_Perc,ERA,CG,tSho,cSho,SV,IP,P_H,P_R,ER,P_HR,P_BB,P_IBB,P_SO,P_HBP,BK,WP,BF,ERA_Plus,FIP,WHIP,H9,HR9,BB9,SO9,SO_per_W,P_LOB
10,HOU,2012,3.6,6014.0,5407.0,583.0,1276.0,238.0,28.0,146.0,545.0,105.0,46.0,463.0,1365.0,0.236,0.302,0.371,0.673,83.0,2008.0,114.0,58.0,54.0,30.0,19.0,1090.0,4.9,0.34,4.56,3.0,11.0,2.0,31.0,1423.1,1493.0,794.0,721.0,173.0,540.0,40.0,1170.0,48.0,6.0,75.0,6238.0,88.0,4.27,1.428,9.4,1.1,3.4,7.4,2.17,1174.0
11,KCR,2012,4.17,6149.0,5636.0,676.0,1492.0,295.0,37.0,131.0,643.0,132.0,38.0,404.0,1032.0,0.265,0.317,0.4,0.716,96.0,2254.0,130.0,42.0,26.0,41.0,35.0,1087.0,4.6,0.444,4.3,2.0,12.0,1.0,44.0,1451.1,1504.0,746.0,693.0,163.0,542.0,44.0,1177.0,60.0,8.0,49.0,6251.0,97.0,4.18,1.41,9.3,1.0,3.4,7.3,2.17,1151.0
12,LAA,2012,4.73,6121.0,5536.0,767.0,1518.0,273.0,22.0,187.0,732.0,134.0,33.0,449.0,1113.0,0.274,0.332,0.433,0.764,116.0,2396.0,138.0,47.0,47.0,41.0,29.0,1079.0,4.31,0.549,4.02,6.0,16.0,5.0,38.0,1433.1,1339.0,699.0,640.0,186.0,483.0,20.0,1157.0,40.0,2.0,38.0,6034.0,94.0,4.26,1.271,8.4,1.2,3.0,7.3,2.4,1035.0
13,LAD,2012,3.93,6091.0,5438.0,637.0,1369.0,269.0,23.0,116.0,607.0,104.0,44.0,481.0,1156.0,0.252,0.317,0.374,0.69,91.0,2032.0,139.0,52.0,82.0,38.0,49.0,1112.0,3.69,0.531,3.34,2.0,10.0,2.0,40.0,1449.2,1277.0,597.0,538.0,122.0,539.0,62.0,1276.0,45.0,2.0,46.0,6068.0,114.0,3.64,1.253,7.9,0.8,3.3,7.9,2.37,1122.0
14,MIA,2012,3.76,6057.0,5437.0,609.0,1327.0,261.0,39.0,137.0,576.0,149.0,41.0,484.0,1228.0,0.244,0.308,0.382,0.69,87.0,2077.0,114.0,35.0,60.0,40.0,46.0,1092.0,4.47,0.426,4.09,5.0,7.0,3.0,38.0,1440.2,1448.0,724.0,655.0,133.0,495.0,61.0,1113.0,55.0,4.0,36.0,6186.0,97.0,3.9,1.349,9.0,0.8,3.1,7.0,2.25,1140.0
15,MIL,2012,4.79,6225.0,5557.0,776.0,1442.0,300.0,39.0,202.0,741.0,158.0,39.0,466.0,1240.0,0.259,0.325,0.437,0.762,102.0,2426.0,111.0,90.0,76.0,35.0,35.0,1104.0,4.52,0.512,4.22,0.0,9.0,0.0,44.0,1453.2,1458.0,733.0,682.0,169.0,525.0,20.0,1402.0,31.0,5.0,57.0,6245.0,97.0,3.82,1.364,9.0,1.0,3.3,8.7,2.67,1151.0
16,MIN,2012,4.33,6209.0,5562.0,701.0,1448.0,270.0,30.0,131.0,666.0,135.0,37.0,505.0,1069.0,0.26,0.325,0.39,0.715,99.0,2171.0,149.0,53.0,33.0,56.0,28.0,1144.0,5.14,0.407,4.77,3.0,6.0,1.0,35.0,1438.2,1536.0,832.0,762.0,198.0,465.0,43.0,943.0,57.0,2.0,60.0,6214.0,85.0,4.66,1.391,9.6,1.2,2.9,5.9,2.03,1066.0
17,NYM,2012,4.01,6091.0,5450.0,650.0,1357.0,286.0,21.0,139.0,625.0,79.0,38.0,503.0,1250.0,0.249,0.316,0.386,0.701,93.0,2102.0,118.0,42.0,64.0,30.0,43.0,1118.0,4.38,0.457,4.09,7.0,13.0,5.0,36.0,1434.0,1368.0,709.0,651.0,161.0,488.0,29.0,1240.0,40.0,3.0,40.0,6086.0,93.0,3.93,1.294,8.6,1.0,3.1,7.8,2.54,1075.0
18,NYY,2012,4.96,6231.0,5524.0,804.0,1462.0,280.0,13.0,245.0,774.0,93.0,27.0,565.0,1176.0,0.265,0.337,0.453,0.79,112.0,2503.0,136.0,62.0,31.0,49.0,31.0,1135.0,4.12,0.586,3.84,6.0,9.0,2.0,51.0,1445.1,1401.0,668.0,617.0,190.0,431.0,32.0,1318.0,49.0,9.0,53.0,6085.0,109.0,3.98,1.268,8.7,1.2,2.7,8.2,3.06,1081.0
19,OAK,2012,4.4,6183.0,5527.0,713.0,1315.0,267.0,32.0,195.0,676.0,122.0,32.0,550.0,1387.0,0.238,0.31,0.404,0.714,97.0,2231.0,97.0,45.0,27.0,34.0,29.0,1095.0,3.79,0.58,3.48,1.0,13.0,0.0,47.0,1470.0,1360.0,614.0,569.0,147.0,462.0,34.0,1136.0,46.0,5.0,40.0,6131.0,113.0,3.89,1.239,8.3,0.9,2.8,7.0,2.46,1107.0
20,PHI,2012,4.22,6172.0,5544.0,684.0,1414.0,271.0,28.0,158.0,659.0,116.0,23.0,454.0,1094.0,0.255,0.317,0.4,0.716,92.0,2215.0,114.0,63.0,72.0,39.0,41.0,1135.0,4.2,0.5,3.83,5.0,11.0,4.0,42.0,1451.1,1387.0,680.0,618.0,178.0,409.0,33.0,1385.0,44.0,3.0,30.0,6072.0,104.0,3.72,1.237,8.6,1.1,2.5,8.6,3.39,1038.0
21,PIT,2012,4.02,6014.0,5412.0,651.0,1313.0,241.0,37.0,170.0,620.0,73.0,52.0,444.0,1354.0,0.243,0.304,0.395,0.699,94.0,2138.0,98.0,51.0,62.0,45.0,32.0,1049.0,4.16,0.488,3.86,2.0,10.0,1.0,45.0,1433.1,1357.0,674.0,615.0,153.0,490.0,30.0,1192.0,45.0,3.0,45.0,6097.0,96.0,3.93,1.289,8.5,1.0,3.1,7.5,2.43,1123.0
22,SDP,2012,4.02,6112.0,5422.0,651.0,1339.0,272.0,43.0,121.0,610.0,155.0,46.0,539.0,1238.0,0.247,0.319,0.38,0.699,96.0,2060.0,100.0,54.0,63.0,34.0,36.0,1146.0,4.38,0.469,4.01,4.0,11.0,3.0,43.0,1434.2,1356.0,710.0,640.0,162.0,539.0,48.0,1205.0,48.0,8.0,49.0,6151.0,91.0,4.11,1.321,8.5,1.0,3.4,7.6,2.24,1137.0
23,SEA,2012,3.82,6057.0,5494.0,619.0,1285.0,241.0,27.0,149.0,584.0,104.0,35.0,466.0,1259.0,0.234,0.296,0.369,0.665,90.0,2027.0,95.0,30.0,32.0,35.0,21.0,1052.0,4.02,0.463,3.76,8.0,11.0,6.0,43.0,1456.2,1359.0,651.0,608.0,166.0,449.0,39.0,1166.0,49.0,5.0,61.0,6062.0,99.0,4.0,1.241,8.4,1.0,2.8,7.2,2.6,1041.0
24,SFG,2012,4.43,6200.0,5558.0,718.0,1495.0,287.0,57.0,103.0,675.0,118.0,39.0,483.0,1097.0,0.269,0.327,0.397,0.724,107.0,2205.0,114.0,29.0,69.0,61.0,44.0,1171.0,4.01,0.58,3.68,5.0,14.0,4.0,53.0,1451.0,1361.0,649.0,593.0,142.0,489.0,42.0,1237.0,51.0,4.0,54.0,6138.0,95.0,3.78,1.275,8.4,0.9,3.0,7.7,2.53,1136.0
25,STL,2012,4.72,6326.0,5622.0,765.0,1526.0,290.0,37.0,159.0,732.0,91.0,37.0,533.0,1192.0,0.271,0.338,0.421,0.759,107.0,2367.0,135.0,53.0,69.0,49.0,45.0,1198.0,4.0,0.543,3.71,4.0,10.0,2.0,42.0,1462.2,1420.0,648.0,603.0,134.0,436.0,28.0,1218.0,50.0,4.0,46.0,6158.0,104.0,3.62,1.269,8.7,0.8,2.7,7.5,2.79,1122.0
26,TBR,2012,4.3,6105.0,5398.0,697.0,1293.0,250.0,30.0,175.0,665.0,134.0,44.0,571.0,1323.0,0.24,0.317,0.394,0.711,100.0,2128.0,133.0,58.0,34.0,42.0,26.0,1058.0,3.56,0.556,3.19,7.0,15.0,4.0,50.0,1459.2,1233.0,577.0,518.0,139.0,469.0,35.0,1383.0,54.0,4.0,59.0,6000.0,120.0,3.51,1.166,7.6,0.9,2.9,8.5,2.95,1044.0
27,TEX,2012,4.99,6216.0,5590.0,808.0,1526.0,303.0,32.0,200.0,780.0,91.0,44.0,478.0,1103.0,0.273,0.334,0.446,0.78,102.0,2493.0,121.0,57.0,36.0,53.0,44.0,1113.0,4.36,0.574,3.99,7.0,10.0,2.0,43.0,1442.0,1378.0,707.0,639.0,175.0,446.0,15.0,1286.0,41.0,8.0,53.0,6067.0,113.0,3.9,1.265,8.6,1.1,2.8,8.0,2.88,1034.0
28,TOR,2012,4.42,6094.0,5487.0,716.0,1346.0,247.0,22.0,198.0,677.0,123.0,41.0,473.0,1251.0,0.245,0.309,0.407,0.716,92.0,2231.0,109.0,55.0,33.0,45.0,29.0,1026.0,4.84,0.451,4.64,5.0,11.0,4.0,29.0,1443.2,1439.0,784.0,745.0,204.0,574.0,20.0,1142.0,55.0,7.0,56.0,6216.0,92.0,4.66,1.394,9.0,1.3,3.6,7.1,1.99,1101.0
29,WSN,2012,4.51,6221.0,5615.0,731.0,1468.0,301.0,25.0,194.0,688.0,105.0,35.0,479.0,1325.0,0.261,0.322,0.428,0.75,102.0,2401.0,110.0,41.0,50.0,36.0,43.0,1127.0,3.67,0.605,3.33,3.0,9.0,1.0,51.0,1468.1,1296.0,594.0,543.0,129.0,497.0,32.0,1325.0,47.0,4.0,62.0,6133.0,119.0,3.54,1.221,7.9,0.8,3.0,8.1,2.67,1134.0
